zona,municipio_cod,x_centroide,y_centroide,municipio
247,36.0,336161.1151079137,7384599.741007194,São Paulo
249,36.0,334961.106870229,7385663.790076336,São Paulo
250,36.0,334400.8428184282,7387303.037940379,São Paulo
251,36.0,334792.26291079813,7388739.807511737,São Paulo
252,36.0,335336.28662420384,7387176.987261146,São Paulo
253,36.0,337718.6538461539,7390782.149038462,São Paulo
254,36.0,338900.42688330874,7390966.431314623,São Paulo
255,36.0,339786.01253918494,7389518.583072101,São Paulo
256,36.0,341335.6989966555,7390399.133779264,São Paulo
257,36.0,342768.5471698113,7390875.011320755,São Paulo
258,36.0,343152.1935483871,7388899.29953917,São Paulo
259,36.0,346052.29347826086,7387246.951086956,São Paulo
260,36.0,345371.5726495726,7388206.863247863,São Paulo
261,36.0,344569.79715302493,7389824.871886121,São Paulo
262,36.0,346167.9537037037,7389489.87037037,São Paulo
263,36.0,347749.51498637605,7387447.702997276,São Paulo
264,36.0,348967.7848101266,7388633.426160337,São Paulo
265,36.0,347490.0925110132,7390265.174008811,São Paulo
266,36.0,348372.1797752809,7390604.827715356,São Paulo
267,36.0,350581.1397515528,7388374.891304348,São Paulo
268,36.0,328759.0275689223,7385988.175438597,São Paulo
269,36.0,329299.33609958505,7386603.014522822,São Paulo
270,36.0,329712.0404040404,7387051.2272727275,São Paulo
272,36.0,330193.77777777775,7384948.940740741,São Paulo
273,36.0,330614.20947630925,7383620.374064838,São Paulo
274,36.0,332277.75841584156,7384264.0,São Paulo
275,36.0,332940.36674816627,7384949.909535453,São Paulo
276,36.0,332424.80597014923,7382149.695095949,São Paulo
277,36.0,329867.8406374502,7382276.03187251,São Paulo
278,36.0,332357.9080851064,7380241.4910638295,São Paulo
279,36.0,330927.5863192182,7379854.833876221,São Paulo
280,36.0,327176.73871733964,7381360.389548694,São Paulo
281,36.0,328253.39215686277,7381854.543417367,São Paulo
282,36.0,329094.5706051873,7380580.634005764,São Paulo
283,36.0,328287.01612903224,7379527.818548387,São Paulo
284,36.0,330649.23076923075,7378845.307692308,São Paulo
285,36.0,333143.6233183856,7377628.780269058,São Paulo
286,36.0,325163.4524590164,7381380.324590164,São Paulo
287,36.0,326054.7456896552,7379167.13362069,São Paulo
288,36.0,325848.9218328841,7375791.423180593,São Paulo
289,36.0,326966.2528473804,7376570.341685649,São Paulo
290,36.0,328165.34493670886,7375859.104430379,São Paulo
291,36.0,326297.5668604651,7373927.5319767445,São Paulo
292,36.0,326311.0788643533,7371324.006309148,São Paulo
293,36.0,327823.99170124484,7373504.244813278,São Paulo
294,36.0,330242.1050119332,7372526.023866349,São Paulo
295,36.0,328711.4736842105,7370209.292397661,São Paulo
296,36.0,328421.6904761905,7367670.571428572,São Paulo
297,36.0,321790.0737704918,7371187.286885246,São Paulo
298,36.0,325059.7228426396,7364102.794923858,São Paulo
299,36.0,321665.46774193546,7357614.096774193,São Paulo
301,36.0,326329.15942028986,7385595.679549115,São Paulo
302,36.0,327700.8402255639,7384687.434210527,São Paulo
303,36.0,326358.4182098765,7383300.543209877,São Paulo
304,36.0,325206.3938906752,7383219.75562701,São Paulo
305,36.0,322092.8618266979,7383331.011709602,São Paulo
306,36.0,322197.4407514451,7381890.914739884,São Paulo
307,36.0,322387.220657277,7380205.126760564,São Paulo
308,36.0,319343.69669117645,7374689.224264706,São Paulo
309,36.0,319172.70997679816,7377678.953596287,São Paulo
310,36.0,317965.7707910751,7378386.251521298,São Paulo
311,36.0,319089.95185185183,7379650.411111111,São Paulo
312,36.0,320352.8951965066,7379588.497816594,São Paulo
313,36.0,320303.81123595504,7382424.202247191,São Paulo
314,36.0,319689.6436363636,7380783.418181818,São Paulo
315,36.0,318308.91392405063,7380609.774683544,São Paulo
316,36.0,317833.3064713065,7382107.345543345,São Paulo
317,36.0,324948.90944123315,7390308.134874759,São Paulo
318,36.0,326525.88737864076,7390451.1203883495,São Paulo
319,36.0,326084.5051975052,7388267.833679833,São Paulo
320,36.0,324660.9015486726,7388554.155973451,São Paulo
321,36.0,324087.7731707317,7387052.096341464,São Paulo
322,36.0,323424.02135231317,7385399.262158956,São Paulo
323,36.0,322680.4774281806,7386348.834473324,São Paulo
324,36.0,320704.1130952381,7384134.479166667,São Paulo
325,36.0,318620.84539473685,7384196.180921053,São Paulo
326,36.0,320032.235,7385449.09,São Paulo
327,36.0,320983.0495867769,7386455.107438017,São Paulo
328,36.0,323131.807775378,7387746.485961123,São Paulo
329,36.0,322029.05846153846,7388047.646153846,São Paulo
330,36.0,323523.3891547049,7389587.429027113,São Paulo
331,36.0,321742.32085561496,7389991.796791444,São Paulo
332,36.0,319536.85714285716,7389825.30952381,São Paulo
333,36.0,317151.9471365639,7389390.744493392,São Paulo
334,36.0,316657.29752066114,7390425.603305785,São Paulo
335,36.0,321739.98818897636,7392361.960629921,São Paulo
336,36.0,320624.4813559322,7391342.983050847,São Paulo
337,36.0,320012.58875739644,7392778.600591716,São Paulo
338,36.0,321336.70764119603,7394455.9069767445,São Paulo
339,36.0,321864.80555555556,7394976.15,São Paulo
340,36.0,323920.55654761905,7393106.563988095,São Paulo
341,36.0,325492.78774617065,7392230.503282276,São Paulo
342,36.0,324451.6685552408,7391297.679886686,São Paulo
343,36.0,322964.7175572519,7391334.549618321,São Paulo
344,4.0,328373.6,7412223.685714286,Caieiras
345,4.0,322477.5667311412,7414277.454545454,Caieiras
346,4.0,320909.56115107914,7417367.661870504,Caieiras
348,5.0,311679.5634057971,7414683.869565218,Cajamar
349,5.0,307866.25096525095,7418869.181467181,Cajamar
351,13.0,322157.4149855908,7420246.32276657,Franco da Rocha
