Tabela 15,,,
Empregos com Trabalho Externo ou Interno por Zona de Emprego - 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de,Empregos,,
 Emprego ,Trabalho Externo(*),Trabalho Interno, Total 
,,,
 335 , 606 ," 16,624 "," 17,230 "
 336 ," 3,521 "," 10,410 "," 13,931 "
 337 ," 1,189 "," 14,379 "," 15,568 "
 338 ," 1,158 "," 9,587 "," 10,745 "
 339 ," 2,713 "," 19,909 "," 22,623 "
 340 ," 2,180 "," 24,746 "," 26,926 "
 341 ," 2,401 "," 17,100 "," 19,501 "
 342 , 237 ," 4,636 "," 4,873 "
 343 ," 1,034 "," 12,895 "," 13,929 "
 344 , -   ," 1,524 "," 1,524 "
 345 ," 3,563 "," 22,012 "," 25,575 "
 346 , 689 ," 9,231 "," 9,920 "
 347 , -   , 631 , 631 
 348 ," 5,415 "," 45,828 "," 51,244 "
 349 , 308 ," 13,271 "," 13,578 "
 350 , -   , 300 , 300 
 351 , 862 ," 19,197 "," 20,059 "
 352 ," 3,474 "," 11,597 "," 15,071 "
 353 , -   ," 1,227 "," 1,227 "
 354 , -   , -   , -   
 355 , -   , -   , -   
 356 ," 2,281 "," 12,018 "," 14,299 "
 357 ," 2,227 "," 16,616 "," 18,843 "
 358 , 54 , 693 , 747 
 359 , 953 ," 19,282 "," 20,235 "
 360 , -   ," 6,400 "," 6,400 "
 361 ," 1,025 "," 7,247 "," 8,272 "
 362 , 477 ," 4,593 "," 5,070 "
 363 ," 1,678 "," 35,666 "," 37,343 "
 364 ," 5,784 "," 29,002 "," 34,786 "
 365 ," 4,471 "," 32,453 "," 36,924 "
 366 ," 1,467 "," 10,387 "," 11,853 "
 367 ," 3,060 "," 29,443 "," 32,503 "
 368 , 504 ," 11,830 "," 12,334 "
 369 , 727 ," 18,136 "," 18,863 "
 370 ," 1,929 "," 18,440 "," 20,369 "
 371 ," 4,284 "," 30,641 "," 34,925 "
 372 , 397 ," 6,469 "," 6,865 "
 373 ," 3,560 "," 20,975 "," 24,535 "
 374 ," 10,823 "," 24,542 "," 35,364 "
