Tabela 10,,,
Matrículas Escolares por Tipo de Estabelecimento e Zona de Escola – 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de ,Matrículas Escolares por Tipo de Escola,,
Escola,Pública,Particular,Total
,,,
 285 ," 5,531 "," 1,922 "," 7,453 "
 286 ," 1,844 ", 75 ," 1,919 "
 287 ," 1,199 "," 3,194 "," 4,393 "
 288 ," 9,001 "," 12,413 "," 21,414 "
 289 ," 12,615 "," 3,183 "," 15,798 "
 290 ," 7,755 "," 3,732 "," 11,487 "
 291 ," 9,524 "," 3,186 "," 12,710 "
 292 ," 15,985 "," 2,200 "," 18,185 "
 293 ," 11,239 "," 2,313 "," 13,552 "
 294 ," 25,130 "," 3,199 "," 28,329 "
 295 ," 25,119 "," 2,405 "," 27,524 "
 296 ," 1,959 ", -   ," 1,959 "
 297 ," 1,000 ", -   ," 1,000 "
 298 ," 41,045 ", 651 ," 41,695 "
 299 , 720 , -   , 720 
 300 , -   , 9 , 9 
 301 ," 1,229 "," 20,628 "," 21,857 "
 302 , -   ," 1,941 "," 1,941 "
 303 ," 4,629 "," 17,389 "," 22,018 "
 304 ," 2,493 "," 23,966 "," 26,459 "
 305 ," 17,422 "," 1,064 "," 18,486 "
 306 ," 21,996 "," 5,733 "," 27,729 "
 307 ," 12,634 ", 62 ," 12,696 "
 308 ," 21,460 ", 760 ," 22,220 "
 309 ," 10,264 ", 152 ," 10,416 "
 310 ," 10,822 ", 520 ," 11,342 "
 311 ," 3,246 ", -   ," 3,246 "
 312 ," 20,609 ", 608 ," 21,217 "
 313 ," 13,026 "," 7,555 "," 20,580 "
 314 ," 5,228 ", -   ," 5,228 "
 315 ," 15,708 "," 10,078 "," 25,786 "
 316 ," 16,687 "," 1,161 "," 17,849 "
 317 , 343 ," 1,793 "," 2,136 "
 318 , -   ," 1,251 "," 1,251 "
 319 , 963 , 865 ," 1,827 "
 320 , 650 ," 5,428 "," 6,078 "
 321 ," 7,315 "," 3,042 "," 10,357 "
 322 ," 3,369 "," 4,258 "," 7,626 "
 323 ," 2,542 "," 6,886 "," 9,428 "
 324 ," 9,567 "," 2,631 "," 12,198 "
 325 ," 13,751 "," 3,588 "," 17,340 "
 326 ," 7,605 "," 6,766 "," 14,371 "
 327 ," 7,061 ", 715 ," 7,776 "
 328 , 144 , 600 , 744 
