Tabela 18,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo e Zona de Origem – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
,Viagens Produzidas por Motivo,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,
 97 , 626 ," 2,556 "," 8,428 "," 6,238 "," 1,569 "," 2,556 "," 2,497 ", -   , 572 , 550 ," 25,592 "
 98 , 474 , 662 ," 8,842 "," 5,751 ", 385 , 500 ," 1,217 ", 375 ," 2,017 ", 75 ," 20,297 "
 99 ," 6,454 "," 2,370 "," 10,053 "," 3,830 "," 2,920 ", 821 , 557 , 435 ," 1,551 ", 841 ," 29,833 "
 100 ," 4,935 "," 20,756 "," 48,043 "," 22,842 "," 8,235 "," 12,370 "," 4,206 ", 106 ," 6,157 "," 2,642 "," 130,293 "
 101 , 964 , 895 ," 12,560 "," 8,610 ", 731 ," 1,001 "," 1,151 ", -   , 475 , -   ," 26,386 "
 102 , 913 ," 1,752 "," 10,877 "," 6,776 ", 419 ," 2,013 ", 976 , -   ," 3,426 ", 24 ," 27,176 "
 103 , 157 , 630 ," 3,253 ", 831 , 255 , 761 , 323 , -   , 666 , -   ," 6,876 "
 104 , 476 , 398 ," 3,133 "," 4,312 ", 387 , 268 , 536 , -   , 386 , 104 ," 9,999 "
 105 ," 1,363 "," 1,693 "," 13,616 "," 7,320 "," 1,539 "," 1,104 "," 1,232 ", -   , 519 , 489 ," 28,875 "
 106 ," 1,938 "," 7,147 "," 13,363 "," 2,155 "," 2,872 ", 77 , 308 , -   , 857 , 336 ," 29,052 "
 107 ," 1,052 "," 2,650 "," 12,806 "," 20,559 ", 465 , 949 ," 2,777 ", -   , 972 , 431 ," 42,663 "
 108 , 726 ," 6,906 "," 8,768 "," 2,885 "," 2,015 ", 297 , 279 , 40 , 288 , 9 ," 22,212 "
 109 ," 9,701 "," 10,160 "," 41,107 "," 61,450 "," 7,615 "," 15,692 "," 3,560 ", 371 ," 11,359 ", -   ," 161,014 "
 110 ," 5,131 "," 4,957 "," 39,650 "," 26,634 "," 7,626 "," 5,929 "," 2,959 ", -   ," 4,023 ", 582 ," 97,492 "
 111 ," 4,804 "," 4,225 "," 24,499 "," 27,785 "," 2,326 "," 4,157 "," 1,270 ", -   ," 3,574 ", -   ," 72,640 "
 112 ," 3,737 "," 6,622 "," 21,033 "," 17,280 "," 1,773 "," 3,692 "," 1,163 ", -   , 982 , -   ," 56,282 "
 113 ," 4,856 "," 9,139 "," 17,862 "," 19,016 "," 3,442 "," 1,216 "," 1,729 ", -   ," 1,680 ", 166 ," 59,105 "
 114 , - , - , - , - , - , - , - , - , - , - , -   
 115 ," 4,935 "," 6,058 "," 18,700 "," 29,611 "," 7,062 "," 7,903 "," 3,221 ", -   ," 3,158 ", -   ," 80,647 "
 116 ," 8,885 "," 15,202 "," 68,588 "," 130,752 "," 5,860 "," 2,109 ", 861 , 793 ," 5,671 ", -   ," 238,722 "
 117 ," 5,452 "," 3,781 "," 30,209 "," 27,463 "," 3,080 "," 7,662 "," 4,170 ", -   ," 5,348 ", -   ," 87,166 "
 118 ," 1,139 "," 2,684 "," 4,876 "," 10,479 ", 426 , 789 , 109 , -   ," 1,325 ", -   ," 21,825 "
 119 ," 3,300 "," 10,648 "," 29,741 "," 65,761 "," 3,276 "," 3,990 "," 1,034 ", -   ," 2,229 ", -   ," 119,980 "
 120 , - , - , - , - , - , - , - , - , - , - , -   
 121 ," 10,489 "," 9,244 "," 23,647 "," 53,657 "," 1,278 "," 2,817 ", 99 , -   ," 4,451 ", -   ," 105,682 "
 122 ," 1,904 "," 7,736 "," 10,449 "," 34,894 ", 338 , 305 , 305 , -   ," 1,254 ", -   ," 57,185 "
 123 ," 3,030 "," 5,792 "," 19,123 "," 37,385 "," 1,488 ", 884 ," 5,688 ", -   ," 1,850 ", -   ," 75,239 "
 124 ," 2,085 "," 10,216 "," 18,755 "," 48,829 "," 3,478 "," 2,732 ", 976 , -   ," 1,074 ", -   ," 88,145 "
 125 ," 6,872 "," 6,229 "," 18,996 "," 31,940 ", 974 ," 2,816 "," 4,485 ", -   ," 1,027 ", -   ," 73,339 "
 126 ," 1,266 "," 8,880 "," 21,643 "," 21,566 "," 1,481 "," 2,214 "," 2,130 ", 140 , 986 , -   ," 60,306 "
 127 ," 4,143 "," 9,777 "," 30,366 "," 51,051 "," 2,965 "," 3,633 "," 3,441 ", 587 ," 6,907 ", 123 ," 112,992 "
 128 ," 1,850 "," 3,554 "," 6,602 "," 2,276 ", 198 ," 5,024 ", 874 , 56 ," 3,400 ", 152 ," 23,985 "
 129 ," 1,976 "," 3,302 "," 13,125 "," 3,634 "," 1,856 "," 5,990 "," 1,158 ", 468 ," 3,202 ", 364 ," 35,075 "
 130 , 248 ," 1,361 "," 5,493 "," 2,966 ", 320 , 357 , 14 , -   ," 2,150 ", 109 ," 13,016 "
 131 ," 2,643 ", 773 ," 8,380 "," 2,336 ", 442 , 500 , 239 , -   ," 3,900 ", -   ," 19,214 "
 132 ," 1,681 ", 461 ," 4,391 ", 75 , -   ," 1,290 "," 1,256 ", 531 , 801 , -   ," 10,486 "
 133 ," 3,729 "," 8,585 "," 28,053 "," 23,008 "," 1,835 "," 4,797 "," 3,008 ", -   ," 1,461 ", 298 ," 74,775 "
 134 ," 1,573 "," 3,160 "," 23,531 "," 21,687 "," 3,634 "," 5,651 "," 1,484 ", -   ," 2,103 ", 322 ," 63,145 "
 135 ," 2,795 "," 4,153 "," 22,260 "," 25,806 "," 3,166 "," 4,696 "," 4,911 ", -   ," 2,105 ", 86 ," 69,978 "
 136 ," 8,236 "," 3,594 "," 24,418 "," 18,300 "," 3,419 "," 4,809 "," 1,866 ", 56 ," 3,559 ", 989 ," 69,247 "
 137 ," 1,712 "," 5,529 "," 20,868 "," 29,268 "," 4,095 "," 2,782 "," 1,020 ", -   ," 4,025 "," 1,113 "," 70,411 "
 138 ," 5,469 "," 4,370 "," 10,027 "," 8,796 "," 2,159 ", 555 ," 2,065 ", -   , 769 , -   ," 34,211 "
 139 ," 2,760 "," 3,560 "," 12,495 "," 21,175 "," 1,435 "," 4,945 "," 2,780 ", 233 ," 1,312 ", -   ," 50,694 "
 140 ," 2,937 "," 5,292 "," 14,035 "," 22,856 "," 3,462 "," 2,871 "," 1,830 ", -   ," 4,550 ", 224 ," 58,057 "
 141 ," 7,267 "," 19,917 "," 53,597 "," 45,719 "," 5,460 "," 10,567 "," 3,505 ", 427 ," 5,201 ", 475 ," 152,136 "
 142 ," 5,541 "," 5,432 "," 29,186 "," 24,505 "," 1,683 "," 2,103 ", 197 , -   ," 2,058 ", -   ," 70,706 "
 143 , - , - , - , - , - , - , - , - , - , - , -   
 144 ," 2,946 "," 16,640 "," 57,862 "," 65,019 "," 18,451 "," 4,867 "," 7,132 ", -   ," 7,117 ", 655 ," 180,688 "
 145 , 32 , 691 ," 3,471 "," 7,183 ", 718 , 195 , 734 , -   , 191 , 151 ," 13,364 "
 146 , - , - , - , - , - , - , - , - , - , - , -   
 147 ," 2,692 "," 6,286 "," 16,462 "," 14,066 ", 855 ," 2,325 ", 436 , -   ," 2,149 ", -   ," 45,272 "
 148 ," 1,050 "," 2,120 "," 14,341 "," 12,648 ", 363 ," 2,843 ", 185 , -   ," 2,269 ", -   ," 35,820 "
 149 , -   , -   , -   , -   , -   , -   , 280 , -   , -   , -   , 280 
 150 ," 6,091 "," 2,673 "," 23,186 "," 21,281 ", 479 ," 2,887 "," 2,830 ", -   , 684 ," 1,232 "," 61,342 "
 151 ," 8,383 "," 5,650 "," 44,698 "," 26,257 "," 2,600 "," 1,492 "," 8,929 ", -   ," 4,492 ", 169 ," 102,671 "
 152 ," 2,024 "," 9,408 "," 13,097 "," 18,511 "," 4,198 "," 5,905 "," 3,526 ", 604 ," 3,729 ", -   ," 61,002 "
 153 ," 1,574 "," 1,368 "," 9,688 "," 7,261 "," 4,000 "," 2,998 "," 2,766 ", -   , 597 , 369 ," 30,622 "
 154 ," 4,068 "," 8,223 "," 32,273 "," 39,384 "," 3,482 "," 1,755 "," 4,374 ", -   ," 6,527 "," 1,091 "," 101,177 "
 155 ," 1,861 ", 946 ," 13,039 "," 12,746 "," 1,853 "," 2,529 "," 1,080 ", -   ," 1,341 ", 584 ," 35,979 "
 156 ," 4,939 "," 9,959 "," 15,361 "," 37,868 "," 9,279 "," 1,177 "," 4,035 ", 224 ," 3,535 ", 609 ," 86,987 "
 157 ," 1,312 "," 2,201 "," 6,183 "," 8,691 ", 688 , 946 , 654 , -   , 358 , -   ," 21,034 "
 158 ," 1,141 "," 7,009 "," 15,102 "," 25,458 ", 687 ," 3,946 ", 473 , -   ," 4,010 ", 21 ," 57,847 "
 159 ," 8,584 "," 10,445 "," 29,491 "," 36,066 "," 3,319 "," 9,523 "," 2,790 ", -   ," 4,002 ", -   ," 104,220 "
 160 ," 2,734 "," 7,118 "," 28,187 "," 20,555 "," 1,475 "," 4,591 "," 1,009 ", -   ," 1,290 ", -   ," 66,959 "
 161 ," 11,266 "," 12,745 "," 34,712 "," 19,965 "," 2,994 "," 5,352 ", 750 , 8 ," 2,700 "," 1,063 "," 91,556 "
 162 ," 4,351 "," 8,186 "," 15,143 "," 12,626 "," 1,436 ", 376 ," 1,187 ", 224 , 461 , 82 ," 44,071 "
 163 ," 4,020 "," 6,499 "," 22,592 "," 27,122 "," 4,332 "," 4,757 "," 4,295 ", -   ," 2,209 "," 1,262 "," 77,086 "
 164 ," 3,183 "," 3,245 "," 10,524 "," 1,875 ", 577 ," 1,425 ", 500 , -   , 359 , 216 ," 21,904 "
 165 ," 1,937 "," 3,669 "," 5,947 "," 4,339 "," 1,753 ", 261 ," 2,017 ", 27 , 46 , -   ," 19,996 "
 166 ," 1,463 "," 11,014 "," 40,799 "," 25,730 "," 7,479 "," 9,520 "," 6,593 ", -   ," 3,624 "," 1,507 "," 107,729 "
 167 ," 4,156 "," 11,015 "," 40,551 "," 17,164 "," 6,384 "," 11,239 "," 2,897 ", -   ," 7,928 "," 1,472 "," 102,806 "
 168 ," 1,349 "," 10,700 "," 26,301 "," 15,243 "," 5,633 "," 3,185 "," 4,581 ", -   ," 6,526 ", 264 ," 73,784 "
 169 ," 1,998 "," 5,358 "," 29,359 "," 45,847 "," 2,563 "," 3,384 "," 8,333 ", -   ," 4,301 ", 830 ," 101,975 "
 170 ," 2,353 "," 17,894 "," 30,543 "," 36,709 "," 4,822 "," 8,780 "," 8,807 ", 728 ," 4,236 "," 1,301 "," 116,173 "
 171 ," 2,755 "," 5,216 "," 16,361 "," 31,340 "," 2,809 "," 2,567 "," 2,722 ", -   ," 3,630 ", 469 ," 67,870 "
 172 , 178 ," 4,559 "," 9,982 "," 19,795 "," 1,489 "," 2,243 "," 1,975 ", -   ," 3,743 ", -   ," 43,963 "
 173 ," 1,292 "," 4,375 "," 10,327 "," 10,479 ", 436 , -   , 570 , -   ," 1,019 ", 200 ," 28,699 "
