Tabela 1,,,,,,,,,,
Dados Gerais por Zona de Pesquisa – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,, ,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,,,,,Matrículas,,Automóveis,Viagens,Viagens,
Zona ,Nome,Domicílios,Famílias,População,Escolares,Empregos,Particulares,Produzidas,Atraidas,Área (ha)
,,,,,,,,,,
196,Saudade,"12,095","12,095"," 33,600 "," 7,497 "," 6,725 ","6,403","56,345","56,003", 207 
197,São Miguel Paulista,"8,271","8,271"," 23,395 "," 9,180 "," 9,070 ","4,963","43,054","44,114", 303 
198,Cidade Nitro-Operária,"9,294","9,466"," 26,029 "," 7,117 "," 25,162 ","5,508","87,988","87,519", 358 
199,Jardim Helena,"33,916","33,916"," 99,634 "," 21,833 "," 23,693 ","13,900","136,726","137,025", 685 
200,Jardim Romano,"11,421","11,421"," 32,990 "," 5,160 "," 4,991 ","3,263","48,216","48,208", 231 
201,Vila Curuçá,"24,319","24,319"," 69,129 "," 19,496 "," 11,985 ","13,961","106,408","106,367", 503 
202,Jardim Robru,"25,802","26,758"," 75,039 "," 11,210 "," 16,078 ","16,246","127,529","126,625", 449 
203,Lajeado,"18,131","18,131"," 53,056 "," 12,124 "," 11,612 ","6,203","79,942","79,801", 277 
204,Fábrica Bandeirantes,"39,609","39,609"," 115,420 "," 29,683 "," 32,674 ","18,673","141,463","140,788", 615 
205,Fazenda Itaim,"33,553","33,553"," 97,509 "," 20,399 "," 23,214 ","13,670","131,600","129,981", 462 
206,Itaim Paulista,"13,921","14,199"," 39,442 "," 8,993 "," 18,573 ","6,961","75,360","72,900", 302 
207,Jardim das Oliveiras,"25,168","25,168"," 73,445 "," 24,582 "," 17,479 ","10,164","148,449","146,138", 460 
208,Vila Califórnia,"17,147","17,147"," 45,152 "," 7,060 "," 35,890 ","9,976","81,014","80,778", 340 
209,Vila Carrão,"15,623","15,623"," 41,342 "," 7,719 "," 18,217 ","15,033","68,975","68,988", 440 
210,Jardim Anália Franco,"13,155","13,155"," 34,111 "," 11,009 "," 22,276 ","12,143","62,494","63,310", 334 
211,Vila Formosa,"22,957","22,957"," 60,366 "," 4,008 "," 18,143 ","14,855","70,218","71,303", 417 
212,Barreira Grande,"15,473","15,473"," 43,397 "," 8,057 "," 19,264 ","8,023","55,428","55,592", 280 
213,Aricanduva,"17,618","17,618"," 48,403 "," 8,208 "," 24,692 ","12,072","75,286","74,972", 406 
214,Frei Mont'Alverne,"9,782","9,782"," 26,167 "," 6,581 "," 17,442 ","4,710","38,479","38,312", 225 
215,Vila Matilde,"15,120","15,120"," 40,156 "," 6,540 "," 18,553 ","11,491","59,915","59,683", 330 
216,Cidade Patriarca,"14,696","14,696"," 39,808 "," 5,576 "," 12,994 ","9,993","60,851","61,915", 337 
217,Cidade A.E.Carvalho,"11,789","11,789"," 32,040 "," 6,701 "," 8,780 ","4,585","33,353","33,353", 266 
218,Artur Alvim,"24,960","24,960"," 65,910 "," 13,882 "," 15,333 ","8,150","108,335","108,352", 387 
219,Cidade Líder,"17,251","17,251"," 49,039 "," 10,368 "," 9,945 ","14,146","69,229","69,201", 348 
220,Santa Marcelina,"12,258","12,489"," 35,367 "," 3,141 "," 9,668 ","8,571","49,942","49,898", 266 
221,Parque Savoy,"19,948","19,948"," 55,650 "," 7,227 "," 24,421 ","13,690","73,218","73,307", 445 
222,Vila Carmosina,"17,187","17,187"," 47,798 "," 13,138 "," 17,382 ","16,176","72,083","71,639", 344 
223,Fazenda Caguaçu,"10,252","10,457"," 28,734 "," 4,991 "," 9,661 ","5,126","46,477","46,703", 440 
224,Parque do Carmo,,0, - ," 1,981 "," 1,354 ",0,"7,445","7,445", 777 
225,Gleba do Pêssego,"16,229","16,229"," 47,022 "," 7,116 "," 19,284 ","5,564","60,506","60,883"," 1,028 "
226,José Bonifácio,"30,599","30,599"," 84,407 "," 21,553 "," 13,342 ","14,620","113,556","113,772", 417 
227,Guaianases,"22,665","22,665"," 64,071 "," 11,854 "," 22,092 ","11,531","98,268","97,492", 472 
228,Juscelino Kubitschek,"16,718","16,718"," 47,961 "," 10,193 "," 9,271 ","6,687","61,667","64,263", 419 
229,Cidade Tiradentes,"46,465","48,014"," 134,180 "," 38,073 "," 23,557 ","15,876","211,926","209,833", 954 
230,Santa Etelvina,"22,744","22,744"," 64,822 "," 17,579 "," 16,622 ","5,011","95,215","95,781", 541 
231,Terceira Divisão,"16,793","17,044"," 49,146 "," 7,004 "," 11,755 ","7,770","48,778","48,778"," 1,131 "
232,Iguatemi,"15,855","16,149"," 46,829 "," 14,671 "," 10,599 ","8,515","69,202","68,443", 504 
233,Sítio Carrãozinho,"19,927","20,265"," 57,445 "," 13,901 "," 9,384 ","8,444","82,400","81,975", 323 
