 Tabela 14 ,,,,
"Empregos em Endereço Fixo, na Propria Residência e Sem Endereço Fixo, por Zona de Emprego - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de Emprego , Empregos com Endereço Fixo ,, Empregos Sem Endereço Fixo(*) , Total de Empregos 
, Fora da Residência , Na Residência ,,
,,,,
 405 ," 7,045 ", 687 ," 1,624 "," 9,356 "
 406 ," 3,356 "," 1,401 ", 306 ," 5,062 "
 407 ," 34,809 "," 5,450 "," 3,843 "," 44,102 "
 408 ," 24,414 "," 3,290 "," 1,845 "," 29,548 "
 409 ," 18,968 "," 3,106 ", 962 ," 23,036 "
 410 ," 26,800 "," 5,981 "," 6,788 "," 39,568 "
 411 ," 6,515 "," 4,069 "," 2,670 "," 13,254 "
 412 ," 6,889 "," 1,466 "," 1,805 "," 10,160 "
 413 ," 4,944 "," 1,303 ", 407 ," 6,654 "
 414 ," 2,166 "," 2,069 "," 1,116 "," 5,351 "
 415 ," 12,193 "," 3,000 "," 2,062 "," 17,255 "
 416 ," 3,188 "," 2,300 "," 1,737 "," 7,225 "
 417 , 221 , -   , -   , 221 
 418 ," 3,060 "," 1,489 "," 1,975 "," 6,524 "
 419 , 86 , -   , -   , 86 
 420 ," 2,468 "," 1,416 ", 903 ," 4,788 "
 421 , -   , -   , -   , -   
 422 ," 10,825 "," 2,551 ", 814 ," 14,190 "
 423 , -   , -   , -   , -   
 424 ," 22,339 ", 704 ," 1,306 "," 24,349 "
 425 ," 17,043 "," 3,176 ", 652 ," 20,871 "
 426 ," 7,806 ", 650 , 920 ," 9,376 "
 427 ," 11,318 ", 543 , 273 ," 12,134 "
 428 ," 42,986 ", 823 , 310 ," 44,119 "
 429 ," 103,023 "," 4,614 "," 1,664 "," 109,302 "
