Tabela 9,,,,,,,,,
População por Condição de Atividade e Zona de Residência – 2023,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,
,,,,,,,,,
, População por Condição de Atividade ,,,,,,,,
Zona de,,,Em Licença,,Sem,Nunca,Dona de ,,
Residência, Ocupado ,Faz Bico, Médica , Aposentado , Trabalho , Trabalhou ,  Casa , Estudante , Total 
,,,,,,,,,
 155 ," 12,355 ", 151 , -   ," 4,654 "," 2,953 "," 1,654 "," 3,437 "," 4,744 "," 29,948 "
 156 ," 15,724 ", 772 , -   ," 7,131 "," 8,496 "," 2,172 "," 2,517 "," 5,698 "," 42,510 "
 157 ," 8,103 ", 185 , -   ," 2,402 "," 1,486 "," 1,826 "," 1,069 "," 1,971 "," 17,041 "
 158 ," 23,522 "," 2,495 ", -   ," 10,191 "," 2,910 "," 6,306 "," 3,777 "," 6,162 "," 55,364 "
 159 ," 28,129 ", 501 , -   ," 10,950 "," 4,639 "," 3,439 "," 3,859 "," 10,915 "," 62,431 "
 160 ," 25,265 "," 1,293 ", 295 ," 4,614 ", 746 ," 4,250 "," 3,663 "," 7,308 "," 47,435 "
 161 ," 25,236 "," 1,402 ", -   ," 4,365 "," 6,208 "," 2,555 ", 978 ," 7,105 "," 47,849 "
 162 ," 9,541 ", 561 , 148 ," 2,116 ", 550 , 100 , 919 ," 2,022 "," 15,956 "
 163 ," 21,483 ", 148 , 786 ," 7,343 "," 1,638 "," 2,331 "," 2,078 "," 6,529 "," 42,336 "
 164 ," 4,140 ", 260 , -   ," 1,544 ", 432 , 295 , 244 ," 1,127 "," 8,043 "
 165 ," 1,662 ", -   , 23 , 603 , 285 , 211 , 231 , 500 ," 3,515 "
 166 ," 15,592 ", 188 , -   ," 5,890 "," 2,356 "," 2,663 "," 1,055 "," 3,196 "," 30,940 "
 167 ," 8,549 ", 347 , -   ," 2,648 ", 334 , 430 , 373 ," 2,879 "," 15,559 "
 168 ," 14,663 ", -   , -   ," 3,129 ", 391 ," 1,314 "," 1,710 "," 4,174 "," 25,381 "
 169 ," 12,880 ", 279 , -   ," 6,937 "," 1,065 ", 996 ," 2,181 "," 4,833 "," 29,171 "
 170 ," 16,705 ", 748 , -   ," 9,560 "," 3,652 "," 1,458 "," 2,813 "," 7,230 "," 42,167 "
 171 ," 15,874 ", 808 , 303 ," 6,305 "," 4,781 "," 3,305 "," 2,207 "," 5,532 "," 39,115 "
 172 ," 11,790 "," 1,002 ", -   ," 4,796 "," 1,944 "," 1,415 "," 1,224 "," 4,272 "," 26,444 "
 173 ," 13,243 ", -   , -   ," 4,599 "," 2,758 "," 1,464 "," 1,996 "," 3,958 "," 28,017 "
 174 ," 20,446 ", 405 , -   ," 6,730 "," 6,001 "," 3,216 "," 2,828 "," 7,276 "," 46,902 "
 175 ," 15,974 ", -   ," 1,030 "," 6,305 "," 3,986 "," 2,028 "," 1,340 "," 6,000 "," 36,662 "
 176 ," 19,974 "," 1,092 ", -   ," 8,154 "," 4,661 "," 2,543 "," 2,205 "," 8,026 "," 46,655 "
 177 ," 6,908 ", -   , -   ," 1,701 "," 1,635 "," 1,004 ", 930 ," 2,282 "," 14,461 "
 178 , - , - , - , - , - , - , - , - , -   
 179 , - , - , - , - , - , - , - , - , -   
 180 ," 30,328 ", 736 , -   ," 6,781 "," 7,786 "," 4,384 "," 5,754 "," 12,761 "," 68,529 "
 181 ," 23,527 ", -   , 262 ," 6,059 "," 2,610 "," 2,709 "," 2,533 "," 8,896 "," 46,595 "
 182 ," 20,478 "," 1,176 ", -   ," 8,226 "," 4,758 "," 2,681 "," 1,803 "," 6,746 "," 45,868 "
 183 ," 20,397 ", -   ," 1,108 "," 6,386 "," 5,854 "," 2,330 "," 2,391 "," 7,781 "," 46,246 "
 184 ," 10,772 ", -   , -   ," 3,184 "," 1,894 "," 1,152 "," 2,036 "," 4,649 "," 23,686 "
 185 ," 12,274 ", 729 , -   ," 3,846 ", 890 ," 1,923 "," 2,332 "," 4,440 "," 26,434 "
 186 ," 5,525 ", 63 , 50 , 992 , 724 , 645 , 536 ," 1,577 "," 10,111 "
 187 ," 19,718 "," 2,769 ", -   ," 7,290 "," 7,014 "," 3,192 "," 2,210 "," 6,332 "," 48,525 "
 188 ," 13,499 "," 1,537 ", -   ," 3,139 "," 3,118 ", 926 , 991 ," 5,558 "," 28,767 "
 189 ," 18,072 ", -   , -   ," 6,984 "," 9,744 "," 3,239 ", 854 ," 11,012 "," 49,905 "
 190 ," 17,422 ", 458 , -   ," 3,938 "," 5,383 "," 1,632 "," 2,108 "," 5,365 "," 36,307 "
 191 , - , - , - , - , - , - , - , - , -   
 192 ," 16,396 ", 531 , 120 ," 4,345 "," 2,343 "," 2,839 "," 4,231 "," 7,017 "," 37,823 "
 193 ," 8,422 ", 220 , -   ," 3,187 "," 5,885 "," 1,733 "," 1,388 "," 4,337 "," 25,171 "
 194 ," 10,765 ", 196 , -   ," 4,268 "," 1,962 "," 2,239 "," 1,885 "," 5,292 "," 26,608 "
 195 ," 20,328 ", -   , -   ," 4,102 "," 3,508 "," 3,389 "," 1,961 "," 7,100 "," 40,388 "
 196 ," 12,885 "," 1,579 ", 178 ," 3,531 "," 3,242 "," 3,077 "," 2,845 "," 6,262 "," 33,600 "
 197 ," 9,133 ", 151 , 90 ," 2,718 "," 3,021 "," 1,414 "," 2,561 "," 4,308 "," 23,395 "
 198 ," 10,795 "," 1,047 ", -   ," 3,033 "," 3,517 "," 1,908 ", 860 ," 4,869 "," 26,029 "
