 Tabela 13 ,,,,,,,,,
 Empregos por Vínculo Empregatício e Zona de Emprego – 2023 ,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,
,,,,,,,,,
 Zona de Emprego , Empregos por Vínculo Empregatício ,,,,,,,,
, Assalariado com Carteira , Assalariado sem Carteira , Funcionário Público , Profissional Liberal , Autônomo , Empregador , Dono de Negócio Familiar , Trabalhador Familiar , Total de Empregos 
 144 ," 8,755 "," 1,923 ", 679 ," 1,631 "," 17,891 ", 37 ," 1,044 ", -   ," 31,960 "
 145 , 674 , -   , 270 , 195 ," 1,480 ", -   , 40 , -   ," 2,658 "
 146 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 147 ," 2,816 "," 1,705 ", -   , 770 ," 2,638 "," 1,087 ", 558 , -   ," 9,574 "
 148 ," 4,923 ", -   , -   , 354 ," 2,102 ", 200 , 498 , -   ," 8,076 "
 149 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 150 ," 5,931 "," 1,376 ", 152 , -   ," 8,040 ", -   , -   , -   ," 15,498 "
 151 ," 5,298 ", 290 , 240 , -   ," 11,245 ", -   , 110 , -   ," 17,183 "
 152 ," 5,152 ", 552 , 451 , 725 ," 4,848 ", -   , 82 , -   ," 11,810 "
 153 ," 4,529 ", -   , 870 , 373 ," 2,079 ", 134 , 128 , -   ," 8,113 "
 154 ," 11,697 "," 2,197 ", 113 , 224 ," 12,078 ", 570 , 277 , -   ," 27,155 "
 155 ," 2,264 ", -   , -   , -   ," 4,709 ", -   , 60 , 34 ," 7,067 "
 156 ," 9,050 ", 759 , 597 , 169 ," 7,748 ", -   , -   , -   ," 18,323 "
 157 ," 1,556 ", 152 , -   , 135 ," 1,703 ", -   , -   , -   ," 3,545 "
 158 ," 3,892 ", 678 , 135 , 302 ," 9,758 ", -   ," 2,127 ", -   ," 16,892 "
 159 ," 9,658 ", 273 , 492 , 198 ," 12,548 ", -   , -   , -   ," 23,169 "
 160 ," 6,206 ", 512 ," 1,582 ", 733 ," 8,600 ", 44 , -   , -   ," 17,676 "
 161 ," 21,713 "," 3,123 ", 655 , -   ," 9,498 ", 114 , -   , -   ," 35,103 "
 162 ," 13,882 "," 1,244 ", 516 , 133 ," 9,834 ", 20 , 153 , -   ," 25,784 "
 163 ," 13,914 ", 720 , 318 , 146 ," 10,098 ", -   , -   , -   ," 25,196 "
 164 ," 15,216 ", 631 , -   , -   ," 2,200 ", 226 , 62 , 165 ," 18,501 "
 165 ," 6,376 ", 340 , 292 , -   ," 2,413 ", 13 , 56 , -   ," 9,489 "
 166 ," 21,424 "," 2,551 ", 271 ," 2,974 "," 8,038 ", 258 , 239 , 571 ," 36,327 "
 167 ," 23,322 "," 1,823 ", -   , 488 ," 10,624 ", 441 , 217 , -   ," 36,914 "
 168 ," 15,000 "," 1,369 "," 1,196 ", 447 ," 8,069 ", 271 , 174 , -   ," 26,525 "
 169 ," 12,857 "," 1,064 ", 747 ," 1,135 "," 5,519 ", 442 , 765 , 932 ," 23,461 "
 170 ," 17,114 "," 2,901 ", 346 ," 1,752 "," 11,488 ", 513 , 260 , -   ," 34,375 "
 171 ," 8,112 ", 916 , -   , 650 ," 5,454 ", 113 , 337 , -   ," 15,581 "
 172 ," 3,545 ", 488 , 697 , -   ," 4,259 ", -   , -   , -   ," 8,988 "
 173 ," 5,297 ", -   , -   , 369 ," 4,819 ", -   , 340 , -   ," 10,824 "
 174 ," 4,971 ", -   , 169 , 449 ," 1,494 ", -   , 941 , 617 ," 8,641 "
 175 ," 2,350 ", 972 , 639 , -   ," 5,828 ", -   , 713 , -   ," 10,502 "
 176 ," 5,466 "," 1,256 ", 414 , 563 ," 4,982 ", -   , 269 , -   ," 12,950 "
 177 , 161 , -   , -   , -   ," 2,778 ", -   , -   , -   ," 2,939 "
 178 , 601 , -   , -   , -   , -   , -   , -   , -   , 601 
 179 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 180 ," 4,047 "," 1,973 ", 331 , 123 ," 4,224 ", -   , -   , -   ," 10,699 "
 181 ," 8,392 ", 581 , 768 , 240 ," 8,980 ", 145 , 766 , -   ," 19,872 "
 182 ," 5,340 ", 739 , 283 , 258 ," 4,591 ", 518 , -   , -   ," 11,729 "
 183 ," 3,735 ", -   ," 1,416 ", -   ," 7,395 ", -   , 198 , 131 ," 12,875 "
 184 ," 2,847 ", -   , -   , 94 ," 3,365 ", -   , 101 , -   ," 6,406 "
 185 , 562 , 171 , -   , -   ," 4,613 ", -   , 184 , -   ," 5,531 "
 186 ," 1,496 ", 409 , -   , -   ," 1,000 ", -   , -   , -   ," 2,904 "
 187 ," 2,493 ", 770 , -   , 324 ," 5,784 ", -   , 172 , 299 ," 9,841 "
 188 ," 5,654 "," 1,690 ", 767 , 271 ," 3,690 ", -   , -   , -   ," 12,072 "
 189 ," 4,573 "," 1,845 ", 749 , -   ," 5,233 ", -   , -   , -   ," 12,400 "
 190 ," 10,993 ", 854 , -   ," 1,003 "," 4,675 ", 434 ," 2,094 ", -   ," 20,052 "
 191 ," 5,615 ", 284 , 524 , -   ," 2,141 ", -   , -   , -   ," 8,564 "
 192 ," 2,334 ", 940 , 691 , 296 ," 5,964 ", -   , 616 , 919 ," 11,760 "
 193 ," 2,857 ", -   , -   , -   ," 3,049 ", -   , -   , -   ," 5,905 "
 194 ," 1,892 "," 1,419 ", -   , -   ," 4,179 ", 63 , 171 , 171 ," 7,894 "
 195 ," 8,660 ", 85 , -   , 245 ," 3,959 ", -   , -   , -   ," 12,949 "
 196 ," 2,569 ", -   , 187 , -   ," 3,969 ", -   , -   , -   ," 6,725 "
 197 ," 4,765 ", 415 , 966 , 187 ," 2,736 ", -   , -   , -   ," 9,070 "
 198 ," 16,224 "," 2,286 "," 1,556 ", 556 ," 4,241 ", 137 , 162 , -   ," 25,162 "
 199 ," 6,202 "," 1,369 ", 359 , 396 ," 15,367 ", -   , -   , -   ," 23,693 "
 200 ," 2,098 ", 151 , 744 , -   ," 1,998 ", -   , -   , -   ," 4,991 "
 201 ," 4,566 ", -   , 603 , -   ," 6,650 ", -   , 166 , -   ," 11,985 "
 202 ," 3,842 ", 468 ," 1,157 ", 637 ," 9,425 ", 550 , -   , -   ," 16,078 "
 203 ," 1,648 ", 934 , -   , -   ," 8,172 ", -   , 858 , -   ," 11,612 "
 204 ," 12,038 "," 3,176 "," 1,735 ", 525 ," 13,183 ", 412 ," 1,070 ", 535 ," 32,674 "
 205 ," 6,343 ", 619 ," 1,592 ", 501 ," 11,428 ", -   ," 1,663 "," 1,067 "," 23,214 "
 206 ," 7,176 "," 2,709 ", 897 , 93 ," 7,477 ", 121 , 101 , -   ," 18,573 "
 207 ," 9,594 ", -   , 161 , 60 ," 7,664 ", -   , -   , -   ," 17,479 "
 208 ," 21,121 "," 2,228 ", 123 ," 2,106 "," 9,112 ", 441 , 687 , 72 ," 35,890 "
 209 ," 7,788 "," 1,100 ", 484 , -   ," 7,733 ", -   ," 1,113 ", -   ," 18,217 "
 210 ," 14,333 ", 127 , 544 , 408 ," 6,509 ", -   , 204 , 151 ," 22,276 "
 211 ," 7,416 ", 194 ," 1,198 ", -   ," 8,347 ", 988 , -   , -   ," 18,143 "
 212 ," 6,798 ", 919 , -   ," 1,037 "," 8,221 "," 1,198 ", 366 , 726 ," 19,264 "
 213 ," 10,175 "," 2,541 ", 922 , 288 ," 10,489 ", -   , 277 , -   ," 24,692 "
 214 ," 9,162 ", 656 , 177 , 508 ," 6,005 ", 933 , -   , -   ," 17,442 "
 215 ," 9,712 "," 2,711 ", 540 , 480 ," 4,967 ", -   , -   , 143 ," 18,553 "
 216 ," 3,393 "," 1,158 ", 947 , 31 ," 6,869 ", 596 , -   , -   ," 12,994 "
 217 ," 4,549 ", 93 , -   , 241 ," 3,504 ", -   , 89 , 304 ," 8,780 "
 218 ," 8,510 ", 767 , 491 , -   ," 4,762 ", 753 , 51 , -   ," 15,333 "
