 Tabela 17 ,,,,,
 Viagens Diárias Produzidas por Tipo e Zona de Origem – 2023 ,,,,,
 Região Metropolitana de São Paulo ,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,
,,,,,
, Viagens Produzidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Origem ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
 269 ," 13,162 "," 31,672 "," 44,834 "," 14,855 "," 59,689 "
 270 ," 5,964 "," 13,725 "," 19,689 "," 4,671 "," 24,360 "
 271 ," 6,192 "," 8,348 "," 14,540 ", 542 ," 15,082 "
 272 ," 12,470 "," 22,630 "," 35,100 "," 5,577 "," 40,677 "
 273 ," 33,448 "," 31,298 "," 64,746 "," 23,743 "," 88,489 "
 274 ," 46,258 "," 35,500 "," 81,758 "," 15,380 "," 97,138 "
 275 ," 32,929 "," 27,747 "," 60,676 "," 14,593 "," 75,269 "
 276 ," 46,653 "," 63,462 "," 110,115 "," 31,932 "," 142,047 "
 277 ," 16,821 "," 44,580 "," 61,401 "," 8,471 "," 69,872 "
 278 ," 73,593 "," 32,322 "," 105,915 "," 74,048 "," 179,963 "
 279 ," 35,760 "," 18,742 "," 54,502 "," 22,281 "," 76,783 "
 280 ," 23,856 "," 26,607 "," 50,462 "," 6,774 "," 57,237 "
 281 ," 20,538 "," 29,079 "," 49,617 "," 10,394 "," 60,011 "
 282 ," 16,951 "," 25,282 "," 42,233 "," 15,039 "," 57,273 "
 283 ," 5,629 "," 12,749 "," 18,378 "," 4,838 "," 23,216 "
 284 ," 34,231 "," 17,656 "," 51,887 "," 16,611 "," 68,497 "
 285 ," 45,152 "," 27,594 "," 72,746 "," 25,677 "," 98,423 "
 286 ," 24,190 "," 14,005 "," 38,195 "," 3,304 "," 41,499 "
 287 ," 22,974 "," 24,529 "," 47,504 "," 9,923 "," 57,427 "
 288 ," 17,484 "," 22,887 "," 40,371 "," 13,175 "," 53,546 "
 289 ," 34,375 "," 33,707 "," 68,082 "," 17,023 "," 85,105 "
 290 ," 42,078 "," 16,675 "," 58,753 "," 10,935 "," 69,688 "
 291 ," 45,185 "," 25,352 "," 70,537 "," 17,058 "," 87,595 "
 292 ," 33,478 "," 16,289 "," 49,767 "," 36,320 "," 86,088 "
 293 ," 33,822 "," 16,432 "," 50,254 "," 23,429 "," 73,683 "
 294 ," 40,777 "," 15,486 "," 56,263 "," 49,283 "," 105,546 "
 295 ," 62,862 "," 23,217 "," 86,079 "," 56,285 "," 142,365 "
 296 ," 3,437 "," 2,100 "," 5,536 "," 2,635 "," 8,171 "
 297 ," 3,164 "," 4,024 "," 7,188 ", 284 ," 7,472 "
 298 ," 102,011 "," 33,786 "," 135,797 "," 76,860 "," 212,658 "
 299 ," 5,890 "," 2,091 "," 7,981 ", 859 ," 8,839 "
 300 , 102 , 10 , 112 , -   , 112 
 301 ," 85,063 "," 68,176 "," 153,239 "," 18,963 "," 172,202 "
 302 ," 23,011 "," 22,783 "," 45,795 "," 4,532 "," 50,327 "
 303 ," 44,031 "," 27,411 "," 71,442 "," 7,177 "," 78,618 "
 304 ," 30,638 "," 19,768 "," 50,406 "," 3,260 "," 53,666 "
 305 ," 59,984 "," 34,912 "," 94,896 "," 33,570 "," 128,466 "
 306 ," 64,570 "," 38,355 "," 102,925 "," 64,804 "," 167,729 "
 307 ," 43,309 "," 19,531 "," 62,840 "," 17,424 "," 80,265 "
 308 ," 58,279 "," 21,459 "," 79,738 "," 53,239 "," 132,977 "
 309 ," 24,737 "," 11,104 "," 35,841 "," 31,476 "," 67,317 "
 310 ," 35,058 "," 6,869 "," 41,927 "," 27,712 "," 69,639 "
 311 ," 9,330 "," 2,969 "," 12,299 "," 19,653 "," 31,952 "
 312 ," 49,029 "," 24,891 "," 73,920 "," 45,244 "," 119,164 "
