Tabela 5,,,,,,
População por Faixa de Renda Familiar Mensal e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
 Zona de ,      Faixa de Renda (*),,,,,
 Residência ,até 2.640,2.640 a 5.280,5.280 a 10.560,10.560 a 15.840,mais de 15.840,Total
,,,,,,
 208 ," 1,848 "," 7,561 "," 25,487 "," 4,879 "," 5,378 "," 45,152 "
 209 ," 1,710 "," 11,884 "," 18,556 "," 5,101 "," 4,091 "," 41,342 "
 210 ," 2,481 "," 11,398 "," 12,202 "," 1,522 "," 6,508 "," 34,111 "
 211 ," 5,333 "," 28,956 "," 17,379 "," 6,703 "," 1,995 "," 60,366 "
 212 ," 8,763 "," 15,798 "," 14,302 "," 1,221 "," 3,313 "," 43,397 "
 213 ," 5,652 "," 13,011 "," 18,817 "," 6,290 "," 4,634 "," 48,403 "
 214 ," 3,565 "," 10,170 "," 7,873 "," 3,100 "," 1,458 "," 26,167 "
 215 ," 3,582 "," 14,460 "," 13,490 "," 7,260 "," 1,362 "," 40,156 "
 216 ," 9,677 "," 11,572 "," 11,774 "," 3,403 "," 3,381 "," 39,808 "
 217 ," 4,453 "," 11,930 "," 13,284 "," 2,372 ", -   ," 32,040 "
 218 ," 17,121 "," 31,910 "," 11,738 "," 5,141 ", -   ," 65,910 "
 219 ," 5,841 "," 16,030 "," 14,258 "," 9,441 "," 3,469 "," 49,039 "
 220 ," 6,128 "," 16,078 "," 8,566 "," 1,736 "," 2,860 "," 35,367 "
 221 ," 13,073 "," 23,409 "," 15,675 "," 3,494 ", -   ," 55,650 "
 222 ," 8,792 "," 15,171 "," 14,459 "," 1,542 "," 7,833 "," 47,798 "
 223 ," 3,912 "," 13,685 "," 10,327 ", 811 , -   ," 28,734 "
 224 , - , - , - , - , - , -   
 225 ," 8,285 "," 21,707 "," 16,325 ", 705 , -   ," 47,022 "
 226 ," 16,197 "," 37,136 "," 22,538 "," 7,923 ", 614 ," 84,407 "
 227 ," 21,525 "," 22,318 "," 16,889 "," 1,357 "," 1,981 "," 64,071 "
 228 ," 19,022 "," 15,563 "," 13,376 ", -   , -   ," 47,961 "
 229 ," 32,558 "," 72,259 "," 29,363 ", -   , -   ," 134,180 "
 230 ," 19,739 "," 32,300 "," 12,783 ", -   , -   ," 64,822 "
 231 ," 18,080 "," 17,605 "," 13,461 ", -   , -   ," 49,146 "
 232 ," 11,199 "," 22,858 "," 12,772 ", -   , -   ," 46,829 "
 233 ," 12,936 "," 31,727 "," 10,401 "," 2,054 ", 327 ," 57,445 "
 234 ," 29,647 "," 32,849 "," 12,004 "," 1,332 ", -   ," 75,832 "
 235 ," 16,337 "," 35,991 "," 22,387 "," 1,280 ", -   ," 75,994 "
 236 , 679 ," 3,812 "," 4,252 "," 1,664 "," 1,665 "," 12,072 "
 237 , 654 ," 2,056 "," 5,704 "," 1,503 "," 1,166 "," 11,084 "
 238 ," 1,575 "," 4,365 "," 8,324 "," 1,993 "," 3,768 "," 20,023 "
 239 , 969 ," 4,475 "," 7,481 ", 853 , 985 ," 14,764 "
 240 , 508 ," 3,922 "," 8,931 "," 4,151 "," 2,944 "," 20,456 "
 241 , 354 ," 4,657 "," 4,292 ", 947 , 614 ," 10,864 "
 242 ," 5,285 "," 14,825 "," 9,787 ", -   , -   ," 29,897 "
 243 , 715 ," 11,724 "," 25,247 "," 6,046 "," 2,062 "," 45,794 "
