 Tabela 4 ,,,,
 População por Sexo e Zona de Residência – 2023 ,,,,
 Região Metropolitana de São Paulo ,,,,
 Pesquisa Origem e Destino 2023 ,,,,
 Companhia do Metropolitano de São Paulo  ,,,,
,,,,
 Zona de , População por Sexo ,,,
 Residência , Masculino , Feminino , Não respondeu , Total 
,,,,
 285 ," 59,001 "," 56,197 ", -   ," 115,198 "
 286 ," 5,699 "," 5,812 ", -   ," 11,511 "
 287 ," 10,972 "," 16,513 ", -   ," 27,485 "
 288 ," 10,373 "," 7,888 ", -   ," 18,261 "
 289 ," 22,272 "," 22,574 ", -   ," 44,846 "
 290 ," 26,372 "," 26,508 ", -   ," 52,880 "
 291 ," 34,593 "," 36,413 ", -   ," 71,006 "
 292 ," 28,349 "," 36,730 ", -   ," 65,079 "
 293 ," 44,334 "," 32,569 ", -   ," 76,903 "
 294 ," 51,009 "," 50,762 ", -   ," 101,771 "
 295 ," 59,039 "," 70,302 ", -   ," 129,341 "
 296 ," 9,434 "," 11,907 ", -   ," 21,341 "
 297 ," 2,195 "," 4,126 ", -   ," 6,321 "
 298 ," 77,427 "," 73,265 ", 501 ," 151,193 "
 299 ," 5,870 "," 5,857 ", -   ," 11,727 "
 300 , - , - , - , -   
 301 ," 17,490 "," 24,196 ", -   ," 41,686 "
 302 ," 6,204 "," 6,346 ", -   ," 12,550 "
 303 ," 8,724 "," 10,283 ", -   ," 19,007 "
 304 ," 6,837 "," 7,390 ", -   ," 14,227 "
 305 ," 38,018 "," 35,387 ", -   ," 73,405 "
 306 ," 55,094 "," 58,555 ", -   ," 113,649 "
 307 ," 42,774 "," 35,994 ", -   ," 78,768 "
 308 ," 56,653 "," 57,492 ", -   ," 114,145 "
 309 ," 17,663 "," 21,869 ", -   ," 39,532 "
 310 ," 26,517 "," 34,347 ", -   ," 60,864 "
 311 ," 11,944 "," 14,037 ", -   ," 25,981 "
 312 ," 33,394 "," 45,254 ", -   ," 78,648 "
 313 ," 18,524 "," 21,403 ", -   ," 39,927 "
 314 ," 10,774 "," 10,258 ", -   ," 21,032 "
 315 ," 50,118 "," 46,242 ", -   ," 96,360 "
 316 ," 54,420 "," 65,755 ", -   ," 120,175 "
 317 ," 5,661 "," 7,154 ", 54 ," 12,869 "
 318 ," 1,243 "," 1,402 ", -   ," 2,645 "
 319 ," 12,136 "," 8,930 ", -   ," 21,066 "
 320 ," 4,077 "," 4,119 ", -   ," 8,196 "
 321 ," 34,777 "," 39,581 ", -   ," 74,358 "
 322 ," 19,934 "," 19,869 ", 160 ," 39,963 "
 323 ," 28,556 "," 29,983 ", -   ," 58,539 "
 324 ," 33,907 "," 35,823 ", -   ," 69,730 "
 325 ," 38,742 "," 33,312 ", -   ," 72,054 "
 326 ," 19,349 "," 19,860 ", -   ," 39,209 "
 327 ," 27,547 "," 33,489 ", -   ," 61,036 "
 328 ," 13,102 "," 12,860 ", -   ," 25,962 "
 329 ," 12,664 "," 10,167 ", -   ," 22,831 "
 330 ," 14,844 "," 17,213 ", -   ," 32,057 "
 331 ," 23,718 "," 22,255 ", -   ," 45,973 "
 332 ," 25,098 "," 22,704 ", -   ," 47,802 "
 333 ," 18,474 "," 26,474 ", -   ," 44,948 "
 334 ," 12,647 "," 15,266 ", -   ," 27,913 "
 335 ," 22,072 "," 20,329 ", -   ," 42,401 "
 336 ," 17,899 "," 23,610 ", -   ," 41,509 "
 337 ," 27,781 "," 23,211 ", -   ," 50,992 "
 338 ," 11,802 "," 10,229 ", -   ," 22,031 "
 339 ," 18,144 "," 16,583 ", -   ," 34,727 "
 340 , - , - , - , -   
 341 ," 3,440 "," 3,966 ", -   ," 7,406 "
 342 ," 4,681 "," 4,722 ", -   ," 9,403 "
 343 ," 17,234 "," 18,957 ", -   ," 36,191 "
 344 ," 2,486 "," 2,810 ", -   ," 5,296 "
 345 ," 23,667 "," 26,460 ", -   ," 50,127 "
 346 ," 20,884 "," 20,796 ", -   ," 41,680 "
 347 , - , - , - , -   
 348 ," 33,688 "," 52,303 ", -   ," 85,991 "
 349 ," 4,663 "," 5,028 ", -   ," 9,691 "
 350 , - , - , - , -   
 351 ," 35,937 "," 36,859 ", -   ," 72,796 "
 352 ," 34,500 "," 40,723 ", -   ," 75,223 "
 353 , - , - , - , -   
 354 , - , - , - , -   
 355 , - , - , - , -   
 356 ," 27,359 "," 27,826 ", -   ," 55,185 "
 357 ," 54,209 "," 53,030 ", -   ," 107,239 "
 358 ," 3,578 "," 2,968 ", -   ," 6,546 "
 359 ," 18,606 "," 19,862 ", -   ," 38,468 "
 360 ," 11,471 "," 8,177 ", -   ," 19,648 "
 361 ," 10,343 "," 11,872 ", -   ," 22,215 "
 362 ," 7,890 "," 7,907 ", -   ," 15,797 "
 363 ," 9,155 "," 8,807 ", -   ," 17,962 "
 364 ," 20,892 "," 18,311 ", -   ," 39,203 "
 365 ," 4,121 "," 4,585 ", -   ," 8,706 "
 366 ," 4,724 "," 4,531 ", -   ," 9,255 "
 367 ," 19,580 "," 22,658 ", -   ," 42,238 "
 368 ," 15,323 "," 19,660 ", -   ," 34,983 "
 369 ," 19,159 "," 23,648 ", -   ," 42,807 "
 370 ," 22,885 "," 31,606 ", 383 ," 54,874 "
 371 ," 46,567 "," 51,095 ", -   ," 97,662 "
 372 ," 33,028 "," 34,867 ", -   ," 67,895 "
 373 ," 26,551 "," 27,823 ", -   ," 54,374 "
 374 ," 27,073 "," 34,548 ", -   ," 61,621 "
 375 , - , - , - , -   
 376 ," 32,982 "," 39,509 ", -   ," 72,491 "
 377 ," 20,229 "," 27,438 ", -   ," 47,667 "
 378 ," 92,659 "," 105,133 ", -   ," 197,792 "
 379 ," 53,758 "," 51,703 ", -   ," 105,461 "
 380 ," 27,433 "," 29,514 ", -   ," 56,947 "
 381 ," 52,011 "," 52,245 ", -   ," 104,256 "
 382 , - , - , - , -   
 383 ," 50,069 "," 48,586 ", -   ," 98,655 "
 384 ," 41,667 "," 40,030 ", -   ," 81,697 "
 385 ," 15,040 "," 14,551 ", -   ," 29,591 "
 386 , - , - , - , -   
 387 ," 2,166 "," 2,035 ", -   ," 4,201 "
 388 ," 35,020 "," 42,169 ", -   ," 77,189 "
 389 ," 3,871 "," 3,512 ", -   ," 7,383 "
 390 ," 20,827 "," 22,315 ", -   ," 43,142 "
 391 ," 5,513 "," 5,427 ", -   ," 10,940 "
 392 , - , - , - , -   
 393 , - , - , - , -   
 394 ," 38,164 "," 45,773 ", -   ," 83,937 "
 395 , - , - , - , -   
 396 ," 50,749 "," 48,636 ", -   ," 99,385 "
 397 ," 10,000 "," 11,511 ", -   ," 21,511 "
 398 ," 43,783 "," 40,185 ", -   ," 83,968 "
 399 ," 50,757 "," 51,640 ", -   ," 102,397 "
 400 ," 30,417 "," 36,182 ", -   ," 66,599 "
 401 ," 56,213 "," 69,450 ", -   ," 125,663 "
 402 ," 40,933 "," 42,186 ", -   ," 83,119 "
 403 ," 51,901 "," 65,034 ", -   ," 116,935 "
 404 ," 61,973 "," 92,053 ", -   ," 154,026 "
 405 ," 14,153 "," 11,995 ", -   ," 26,148 "
 406 ," 7,922 "," 9,673 ", -   ," 17,595 "
