Tabela 11,,,,
Empregos por Setor de Atividade e Zona de Emprego – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de Emprego, Empregos por Setor de Atividade ,,, Total 
, Secundário , Terciário , Outros ,
,,,,
 404 ," 7,194 "," 61,694 ", -   ," 68,889 "
 405 ," 3,902 "," 5,454 ", -   ," 9,356 "
 406 ," 1,185 "," 3,877 ", -   ," 5,062 "
 407 ," 10,413 "," 33,689 ", -   ," 44,102 "
 408 ," 4,937 "," 24,612 ", -   ," 29,548 "
 409 ," 2,217 "," 20,638 ", 181 ," 23,036 "
 410 ," 15,612 "," 23,780 ", 176 ," 39,568 "
 411 ," 3,951 "," 9,304 ", -   ," 13,254 "
 412 ," 4,203 "," 5,957 ", -   ," 10,160 "
 413 ," 3,500 "," 2,813 ", 341 ," 6,654 "
 414 ," 1,715 "," 3,553 ", 83 ," 5,351 "
 415 ," 3,347 "," 13,285 ", 623 ," 17,255 "
 416 ," 1,254 "," 4,837 "," 1,133 "," 7,225 "
 417 , -   , 221 , -   , 221 
 418 ," 1,031 "," 5,032 ", 461 ," 6,524 "
 419 , 86 , -   , -   , 86 
 420 , 432 ," 3,925 ", 430 ," 4,788 "
 421 , -   , -   , -   , -   
 422 ," 3,007 "," 10,823 ", 360 ," 14,190 "
 423 , -   , -   , -   , -   
 424 ," 2,545 "," 21,804 ", -   ," 24,349 "
 425 ," 2,200 "," 18,671 ", -   ," 20,871 "
 426 , 749 ," 8,601 ", 26 ," 9,376 "
 427 ," 1,020 "," 11,113 ", -   ," 12,134 "
 428 ," 20,392 "," 23,727 ", -   ," 44,119 "
 429 ," 6,247 "," 103,054 ", -   ," 109,302 "
 430 , 704 ," 11,539 ", -   ," 12,244 "
 431 , 558 ," 7,438 ", -   ," 7,996 "
 432 , 96 ," 4,419 ", -   ," 4,515 "
