Tabela 19,,,,,,,,,,
Viagens Diárias Produzidas a Pé por Razão de Escolha do Modo e Zona de Origem – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,Viagens a Pé por Razão da Escolha do Modo,,,,,,,,,
Zona de Origem,Pequena Distância,Condução Cara,Ponto/ Estação Distante,Condução Demora para Passar,Viagem Demorada,Condução Lotada,Atividade Física,Medo de Contágio,Outros Motivos,Total
,,,,,,,,,,
 225 ," 17,301 ", -   , -   , -   , -   , -   , 291 , -   , 690 ," 18,282 "
 226 ," 26,437 "," 1,253 ", -   , -   , -   , -   , 289 , -   , -   ," 27,979 "
 227 ," 33,264 "," 2,068 "," 1,795 ", -   , -   , -   ," 1,270 ", -   , -   ," 38,397 "
 228 ," 31,151 ", -   , -   , -   , -   , -   , -   , -   , -   ," 31,151 "
 229 ," 98,852 "," 1,805 ", -   , -   , -   , -   , 289 , -   , 692 ," 101,639 "
 230 ," 43,509 "," 1,113 ", -   , -   , -   , -   , -   , -   , -   ," 44,622 "
 231 ," 8,839 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,839 "
 232 ," 24,609 ", 378 , -   , -   , -   , -   , -   , -   , 686 ," 25,673 "
 233 ," 22,113 "," 2,196 ", 361 ," 1,043 ", -   , -   , 320 , -   , -   ," 26,033 "
 234 ," 36,277 "," 2,320 ", -   , -   , -   , -   , -   , -   , -   ," 38,598 "
 235 ," 33,195 ", 873 , -   , -   , -   , -   , 320 , -   ," 6,511 "," 40,899 "
 236 ," 6,022 ", -   , -   , -   , -   , -   , 258 , -   , -   ," 6,280 "
 237 ," 8,165 ", -   , -   , -   , -   , -   , 316 , -   , -   ," 8,481 "
 238 ," 5,367 ", -   , -   , -   , -   , -   , -   , -   , -   ," 5,367 "
 239 ," 12,093 ", -   , -   , -   , -   , -   ," 1,678 ", -   , -   ," 13,771 "
 240 ," 3,264 ", 66 , -   , -   , -   , -   ," 1,706 ", -   , -   ," 5,036 "
 241 ," 4,028 ", 181 , -   , -   , -   , -   , 49 , -   , -   ," 4,259 "
 242 ," 15,691 ", 482 , -   , -   , -   , -   , 230 , -   , -   ," 16,403 "
 243 ," 29,320 ", 353 , -   , -   , -   , -   , 112 , -   , -   ," 29,785 "
 244 ," 33,988 ", -   , -   , -   , -   , -   , 428 , -   , -   ," 34,416 "
 245 ," 11,227 ", 353 , -   , -   , -   , -   , -   , -   , -   ," 11,579 "
 246 ," 15,867 ", -   , -   , -   , -   , -   , -   , -   , -   ," 15,867 "
 247 ," 37,554 ", -   , -   , -   , -   , -   , -   , -   , 71 ," 37,625 "
 248 , - , - , - , - , - , - , - , - , - , -   
 249 ," 19,742 ", 324 , -   , -   , -   , -   , -   , -   , -   ," 20,065 "
 250 ," 7,572 ", -   , -   , -   , -   , -   , -   , -   , 79 ," 7,651 "
 251 ," 7,278 ", 324 , -   , -   , -   , -   , 209 , -   , -   ," 7,811 "
 252 ," 5,803 ", -   , -   , -   , 208 , -   , -   , -   , 71 ," 6,082 "
 253 ," 3,971 ", 70 , -   , 21 , -   , -   , 116 , -   , -   ," 4,178 "
 254 ," 13,495 ", 224 , -   , 21 , -   , -   , 861 , -   , -   ," 14,600 "
 255 ," 28,659 ", -   , -   , -   , -   , -   , 855 , -   , -   ," 29,515 "
 256 ," 11,531 "," 1,599 ", -   , -   , -   , -   , 890 , -   , -   ," 14,020 "
 257 ," 12,860 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,860 "
 258 ," 29,686 "," 3,225 ", -   , -   , -   , -   , 709 , -   , -   ," 33,620 "
 259 ," 9,441 "," 2,834 ", -   , -   , -   , -   , -   , -   , -   ," 12,275 "
 260 ," 20,427 ", -   , -   , -   , -   , -   , -   , -   , -   ," 20,427 "
 261 ," 22,449 ", 303 , -   , -   , -   , -   , 709 , -   , -   ," 23,462 "
 262 ," 28,511 ", -   , -   , -   , -   , -   , -   , -   , -   ," 28,511 "
 263 ," 43,609 ", 303 , -   ," 1,005 ", -   , -   , 401 , -   , -   ," 45,318 "
 264 ," 27,214 ", 723 , 92 , 648 , -   , -   , 330 , -   , -   ," 29,007 "
