Tabela 23a,,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo no Destino,,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,
,,,,,,,,,,,,
97, 247 ," 1,813 "," 4,436 "," 1,526 ", 726 ," 1,822 "," 1,201 "," 13,347 ", -   , 110 , 489 ," 25,717 "
98, 237 , 346 ," 6,255 "," 2,319 ", -   , 278 , 286 ," 9,314 ", 375 , 960 , 37 ," 20,408 "
99," 5,896 "," 1,494 "," 8,809 ", 991 , 509 , 202 , 203 ," 8,046 ", 371 ," 3,025 ", 617 ," 30,165 "
100," 4,663 "," 18,131 "," 35,429 "," 18,445 "," 7,515 "," 11,595 "," 3,279 "," 22,197 ", 106 ," 6,125 "," 2,622 "," 130,106 "
101, 419 , 867 ," 6,494 "," 2,758 ", 285 , 295 , 633 ," 14,167 ", -   , 475 , -   ," 26,393 "
102, 529 ," 1,387 "," 6,544 "," 4,934 ", 212 ," 1,572 ", 186 ," 9,256 ", -   ," 2,706 ", 61 ," 27,387 "
103, 300 , 566 ," 4,763 ", 120 , 123 , 648 , 388 ," 1,919 ", -   , 389 , -   ," 9,217 "
104, 84 , 192 ," 1,627 "," 2,473 ", 68 , -   , 230 ," 5,650 ", -   , 63 , -   ," 10,386 "
105, 646 ," 1,068 "," 9,448 "," 3,262 ", 957 , 459 , 105 ," 12,706 ", -   , 143 , 260 ," 29,055 "
106," 1,907 "," 7,345 "," 11,983 ", 423 ," 2,539 ", -   , -   ," 5,601 ", -   , 594 , 51 ," 30,442 "
107, 488 ," 1,335 "," 11,238 "," 11,672 ", 324 , 301 , 932 ," 14,811 ", -   , -   ," 1,187 "," 42,287 "
108, 342 ," 8,202 "," 7,731 "," 1,140 "," 1,685 ", -   , 305 ," 4,695 ", -   , 190 , 9 ," 24,297 "
109," 3,843 "," 5,010 "," 16,812 "," 23,079 "," 3,443 "," 5,076 "," 2,849 "," 100,020 ", -   ," 1,401 ", -   ," 161,532 "
110," 3,576 "," 2,671 "," 15,134 "," 13,754 "," 2,036 ", 273 ," 1,929 "," 54,051 ", -   ," 3,398 ", 582 ," 97,405 "
111," 1,316 "," 2,107 "," 8,384 "," 11,770 ", 397 , -   , 781 ," 46,675 ", -   , 898 , -   ," 72,326 "
