Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
, Viagens Atraidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Destino ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
156," 23,414 "," 36,869 "," 60,284 "," 27,373 "," 87,656 "
157," 10,748 "," 3,771 "," 14,519 "," 6,378 "," 20,898 "
158," 17,585 "," 23,616 "," 41,201 "," 16,788 "," 57,988 "
159," 32,675 "," 33,586 "," 66,261 "," 35,797 "," 102,057 "
160," 20,150 "," 21,116 "," 41,266 "," 26,153 "," 67,419 "
161," 24,141 "," 29,052 "," 53,193 "," 38,287 "," 91,480 "
162," 11,369 "," 17,800 "," 29,169 "," 15,103 "," 44,272 "
163," 22,976 "," 31,504 "," 54,480 "," 22,376 "," 76,855 "
164," 9,697 "," 9,204 "," 18,901 "," 2,613 "," 21,514 "
165," 12,818 "," 4,366 "," 17,184 "," 3,133 "," 20,317 "
166," 41,340 "," 43,574 "," 84,914 "," 22,514 "," 107,429 "
167," 52,437 "," 39,765 "," 92,202 "," 10,618 "," 102,820 "
168," 39,343 "," 23,509 "," 62,852 "," 10,217 "," 73,069 "
169," 48,475 "," 32,420 "," 80,895 "," 20,914 "," 101,809 "
170," 49,572 "," 36,226 "," 85,798 "," 29,357 "," 115,155 "
171," 22,561 "," 24,442 "," 47,002 "," 20,757 "," 67,760 "
172," 22,446 "," 11,510 "," 33,956 "," 9,685 "," 43,642 "
173," 12,511 "," 10,523 "," 23,034 "," 5,964 "," 28,998 "
174," 27,852 "," 6,897 "," 34,749 "," 19,612 "," 54,361 "
175," 14,153 "," 5,077 "," 19,229 "," 4,788 "," 24,018 "
176," 23,720 "," 11,576 "," 35,296 "," 16,743 "," 52,039 "
177," 6,916 "," 5,155 "," 12,071 "," 6,921 "," 18,992 "
178," 1,944 ", 63 ," 2,008 "," 6,746 "," 8,754 "
179, - , - , -   , -   , -   
180," 38,704 "," 18,236 "," 56,940 "," 44,110 "," 101,051 "
181," 34,061 "," 21,715 "," 55,776 "," 15,504 "," 71,280 "
