Tabela 18a,,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo no Destino e Zona de Origem – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
,Viagens Produzidas por Motivo no Destino,,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,,
 124 ," 1,378 "," 8,213 "," 15,233 "," 20,749 "," 2,146 "," 1,555 ", 317 ," 37,480 ", -   ," 1,074 ", -   ," 88,145 "
 125 ," 5,289 "," 5,854 "," 12,179 "," 14,950 ", 746 ," 2,586 "," 2,308 "," 28,939 ", -   , 490 , -   ," 73,339 "
 126 ," 1,266 "," 4,828 "," 11,308 "," 8,797 ", 735 ," 1,164 "," 1,280 "," 30,516 ", 140 , 271 , -   ," 60,306 "
 127 ," 1,486 "," 5,395 "," 16,142 "," 19,708 "," 1,275 "," 3,311 "," 2,100 "," 58,269 ", 587 ," 4,596 ", 123 ," 112,992 "
 128 , 104 , 100 ," 1,083 ", 381 , 95 , 451 , 735 ," 20,800 ", 56 , 135 , 43 ," 23,985 "
 129 , 131 , 241 ," 1,622 "," 1,299 ", 140 , 808 , 96 ," 30,259 ", 40 , 77 , 364 ," 35,075 "
 130 , 215 ," 1,206 "," 2,102 "," 1,884 ", 320 , 357 , -   ," 4,829 ", -   ," 1,995 ", 109 ," 13,016 "
 131 , 57 , 104 , 484 , 365 , 18 , 109 , 120 ," 17,947 ", -   , 9 , -   ," 19,214 "
 132 ," 1,003 ", -   , 371 , -   , -   , -   , -   ," 8,837 ", -   , 275 , -   ," 10,486 "
 133 ," 3,468 "," 4,590 "," 14,387 "," 5,646 ", 868 , 47 ," 1,162 "," 43,745 ", -   , 561 , 298 ," 74,775 "
 134 , 699 ," 1,129 "," 11,123 "," 9,492 "," 2,806 "," 3,264 "," 1,484 "," 32,038 ", -   ," 1,111 ", -   ," 63,145 "
 135 ," 2,308 "," 2,296 "," 10,189 "," 12,705 "," 2,733 ", 671 ," 3,588 "," 34,328 ", -   ," 1,160 ", -   ," 69,978 "
 136 ," 2,100 "," 1,623 "," 12,012 "," 9,790 ", 777 ," 4,650 ", 795 ," 34,530 ", -   ," 1,981 ", 989 ," 69,247 "
 137 , 842 ," 3,710 "," 11,560 "," 15,985 "," 3,408 "," 1,362 "," 1,020 "," 29,445 ", -   ," 2,674 ", 404 ," 70,411 "
 138 , 937 ," 1,457 "," 3,143 "," 4,387 ", 81 , 555 ," 1,837 "," 21,343 ", -   , 472 , -   ," 34,211 "
 139 ," 1,603 "," 2,462 "," 8,467 "," 11,487 ", 964 ," 2,418 ", 710 ," 21,063 ", 233 ," 1,287 ", -   ," 50,694 "
 140 ," 2,253 "," 3,593 "," 7,552 "," 13,032 "," 2,068 "," 1,767 ", 722 ," 23,691 ", -   ," 3,155 ", 224 ," 58,057 "
 141 ," 4,309 "," 13,119 "," 32,514 "," 29,436 "," 4,499 "," 5,454 "," 2,297 "," 56,670 ", 427 ," 2,935 ", 475 ," 152,136 "
 142 ," 2,130 "," 3,360 "," 22,969 "," 18,603 ", 262 ," 1,268 ", -   ," 20,132 ", -   ," 1,983 ", -   ," 70,706 "
 143 , - , - , - , - , - , - , - , - , - , - , - , -   
 144 ," 2,153 "," 9,284 "," 40,568 "," 40,868 "," 8,204 "," 1,527 "," 3,549 "," 68,895 ", -   ," 5,061 ", 578 ," 180,688 "
 145 , 32 , 372 ," 2,456 "," 2,199 ", 718 , 195 , 31 ," 7,144 ", -   , 144 , 76 ," 13,364 "
 146 , - , - , - , - , - , - , - , - , - , - , - , -   
 147 , 114 ," 4,663 "," 10,858 "," 9,067 ", 646 ," 2,080 ", 120 ," 15,844 ", -   ," 1,881 ", -   ," 45,272 "
 148 , 436 ," 1,538 "," 8,550 "," 7,697 ", 274 , 868 , 185 ," 14,133 ", -   ," 2,138 ", -   ," 35,820 "
 149 , -   , -   , -   , -   , -   , -   , -   , 280 , -   , -   , -   , 280 
 150 ," 3,907 "," 2,057 "," 18,242 "," 12,272 ", 365 ," 2,022 "," 1,791 "," 19,420 ", -   , 650 , 616 ," 61,342 "
 151 ," 6,325 "," 3,976 "," 27,838 "," 19,562 "," 1,562 "," 1,492 "," 4,853 "," 33,246 ", -   ," 3,818 ", -   ," 102,671 "
 152 ," 1,337 "," 4,943 "," 8,213 "," 11,029 "," 1,912 "," 4,861 "," 1,459 "," 25,267 ", -   ," 1,982 ", -   ," 61,002 "
 153 , 762 , 738 ," 4,687 "," 4,735 "," 2,442 "," 2,107 "," 1,280 "," 13,123 ", -   , 380 , 369 ," 30,622 "
 154 ," 2,077 "," 5,555 "," 15,934 "," 15,009 "," 1,094 "," 1,285 ", 506 ," 57,757 ", -   ," 1,287 ", 673 ," 101,177 "
 155 ," 1,122 ", 946 ," 9,215 "," 8,915 "," 1,853 "," 2,529 "," 1,080 "," 8,394 ", -   ," 1,341 ", 584 ," 35,979 "
 156 ," 2,680 "," 5,617 "," 9,561 "," 17,441 "," 4,209 "," 1,037 "," 3,059 "," 39,497 ", 224 ," 3,051 ", 609 ," 86,987 "
 157 , 267 ," 2,201 "," 5,671 "," 4,075 ", 479 , 946 , 420 ," 6,767 ", -   , 209 , -   ," 21,034 "
 158 ," 1,044 "," 4,320 "," 10,083 "," 12,577 ", 252 ," 3,946 ", -   ," 22,185 ", -   ," 3,418 ", 21 ," 57,847 "
 159 ," 5,261 "," 6,868 "," 16,013 "," 19,927 "," 2,065 "," 8,615 "," 1,735 "," 42,080 ", -   ," 1,656 ", -   ," 104,220 "
 160 ," 1,580 "," 5,460 "," 16,791 "," 11,319 ", 974 ," 3,115 ", 645 ," 26,126 ", -   , 949 , -   ," 66,959 "
 161 ," 6,624 "," 6,649 "," 14,379 "," 13,244 "," 1,987 ", 501 , 750 ," 44,780 ", -   ," 1,577 "," 1,063 "," 91,556 "
 162 , 105 ," 2,737 "," 4,066 "," 4,089 ", 585 , 376 , 582 ," 31,222 ", -   , 228 , 82 ," 44,071 "
 163 ," 1,652 "," 3,532 "," 11,278 "," 13,501 "," 2,690 "," 1,685 "," 3,010 "," 37,627 ", -   ," 1,480 ", 631 ," 77,086 "
 164 , 412 ," 1,063 "," 1,494 ", 873 , 181 , 222 , 396 ," 16,687 ", -   , 359 , 216 ," 21,904 "
 165 , 251 , 437 , 855 , 874 , 126 , 169 , -   ," 17,210 ", 27 , 46 , -   ," 19,996 "
 166 , 731 ," 4,314 "," 15,203 "," 10,051 "," 4,657 "," 1,575 "," 1,052 "," 66,644 ", -   ," 1,997 "," 1,507 "," 107,729 "
 167 , 773 , 953 ," 7,126 "," 7,601 "," 1,109 "," 1,135 ", 97 ," 80,994 ", -   ," 1,547 "," 1,472 "," 102,806 "
 168 , 558 ," 1,249 "," 10,624 "," 7,935 "," 1,418 "," 1,876 "," 2,133 "," 46,847 ", -   , 878 , 264 ," 73,784 "
 169 ," 1,071 "," 1,105 "," 13,561 "," 13,205 "," 1,313 "," 1,418 "," 3,506 "," 64,037 ", -   ," 1,930 ", 830 ," 101,975 "
 170 , 951 ," 4,730 "," 12,342 "," 15,856 "," 1,526 ", 542 , 587 ," 76,342 ", -   ," 1,997 "," 1,301 "," 116,173 "
 171 , -   ," 3,108 "," 8,921 "," 17,535 "," 2,480 "," 1,328 "," 1,841 "," 30,487 ", -   ," 2,171 ", -   ," 67,870 "
 172 , 178 ," 1,140 "," 8,279 "," 7,521 ", 687 ," 1,878 "," 1,293 "," 21,087 ", -   ," 1,901 ", -   ," 43,963 "
 173 , 281 ," 1,914 "," 6,823 "," 5,957 ", 273 , -   , 570 ," 12,383 ", -   , 297 , 200 ," 28,699 "
 174 ," 1,479 "," 6,022 "," 10,419 "," 13,965 "," 1,296 "," 1,430 "," 1,785 "," 16,066 ", -   ," 1,850 ", -   ," 54,314 "
 175 ," 1,994 "," 2,615 "," 4,802 "," 7,467 ", 581 , 396 , -   ," 5,760 ", 128 , 303 , 175 ," 24,222 "
