Tabela 7,,,,,
Famílias por Número de Automóveis Particulares e Zona de Residência – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
Zona de Residência,Famílias por Número de Automóveis Particulares,,,,Total de famílias
,Nenhum,1,2,3 ou mais,
,,,,,
509,"25,639","17,093",977,244,"43,953"
510,"6,008","8,868",572,0,"15,448"
511,"8,173","8,916","1,486",0,"18,574"
512,"6,069","5,602",467,0,"12,137"
513,"1,823","1,543",210,0,"3,576"
514,"14,999","21,427","1,428",0,"37,855"
515,"1,261","1,892",315,394,"3,863"
516,"4,411","4,929","3,373","1,297","14,010"
517,"2,584","3,963","2,240",345,"9,131"
518,"30,393","23,380","2,338",0,"56,111"
519,"1,187","1,682",99,0,"2,968"
520,,,,0,0
521,"7,301","8,297",996,0,"16,593"
522,"6,133","10,102","1,804",0,"18,039"
523,239,718,658,180,"1,795"
524,"18,946","17,999","1,895",0,"38,839"
525,"24,445","15,000","4,445",556,"44,445"
526,"14,430","18,037","15,783","6,764","55,014"
527,"3,343","2,030",836,0,"6,209"
,,,,,
Total RMSP,"3,645,521","3,537,134","605,620","84,869","7,873,144"
,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,
,,,,,
Nota:,,,,,
"Os automóveis particulares em posse das famílias excluem veículos pertencentes a empresas, táxis e ônibus.",,,,,
