Tabela 2,,,,,,,,,,,,
População por Faixa Etária e Zona de Residência – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de,População por Faixa Etária  (em anos),,,,,,,,,,,
Residência,até 3,4 a 6,7 a 10,11 a 14,15 a 17,18 a 22,23 a 29,30 a 39,40 a 49,50 a 59,60 e mais, Total 
 146 ,-,-,-,-,-,-,-,-,-,-,-, -   
 147 ,"1,372","2,500",134,"1,917",0,"3,124","2,675","5,192","4,554","3,820","4,007","29,295"
 148 ,622,876,"1,474","1,467",980,"1,130","2,265","3,714","2,290","2,978","3,191","20,986"
 149 ,-,-,-,-,-,-,-,-,-,-,-, -   
 150 ,"2,789","2,913","1,458","3,425","1,504","3,540","6,332","8,227","7,607","6,273","7,609","51,675"
 151 ,"6,032",681,"6,958","7,393","4,575","6,046","11,584","13,832","16,916","11,032","14,442","99,491"
 152 ,"1,224","2,312",595,"1,419","1,149","1,975","2,637","5,982","5,510","4,296","8,729","35,826"
 153 ,555,200,848,393,374,595,"1,838","2,822","2,680","2,193","4,561","17,057"
 154 ,687,"2,607","1,467","2,543",463,"3,777","3,667","7,994","7,792","6,129","12,023","49,150"
 155 ,"1,376",907,"1,551","1,629","1,018","2,586","2,962","5,055","4,392","3,359","5,114","29,948"
 156 ,"1,174","1,712","1,649","2,112","1,234","3,893","4,475","7,397","6,101","5,148","7,615","42,510"
 157 ,773,764,300,945,703,696,"2,255","2,812","2,773","1,875","3,146","17,041"
 158 ,"3,152",899,"2,842","3,592","1,455","3,788","4,929","8,871","8,625","6,284","10,927","55,364"
 159 ,737,"5,073","2,452","2,846","1,802","5,009","6,485","9,892","9,516","6,918","11,701","62,431"
 160 ,"3,507","1,216","2,043","1,273","1,626","3,225","4,841","8,208","6,856","6,661","7,979","47,435"
 161 ,"1,704","1,891","2,830","2,504","1,415","4,581","3,429","8,974","6,515","6,751","7,255","47,849"
 162 ,0,910,0,148,642,"1,832","1,611","2,750","3,255","2,307","2,499","15,956"
 163 ,"2,331",438,"2,528",826,"1,536","2,108","4,110","6,508","7,295","4,802","9,855","42,336"
 164 ,224,0,468,448,283,65,"1,048","1,087","1,500","1,184","1,738","8,043"
 165 ,115,161,131,224,47,280,306,531,595,384,740,"3,515"
 166 ,"1,029",278,"2,065",963,790,970,"2,702","4,834","4,727","4,824","7,757","30,940"
 167 ,354,470,612,672,497,970,"1,299","1,347","2,894","2,054","4,392","15,559"
 168 ,930,"1,207",788,"1,145",939,718,"2,097","4,198","4,532","2,893","5,933","25,381"
 169 ,281,999,"1,554","1,114",941,"1,525","1,698","4,484","4,613","4,431","7,533","29,171"
 170 ,964,"1,795","1,945","2,042","1,289","2,095","4,727","5,398","7,137","5,330","9,442","42,167"
 171 ,652,"1,873","1,941","1,972","2,150","1,407","3,895","6,399","5,836","5,460","7,530","39,115"
 172 ,"1,268",147,"1,200","1,331","1,386","1,261","2,523","3,483","4,546","3,927","5,372","26,444"
 173 ,0,"1,888","1,795",302,683,"2,154","2,511","4,712","4,451","3,652","5,870","28,017"
 174 ,"2,995","2,254","1,543","2,814",886,"4,118","4,125","8,154","5,556","6,245","8,213","46,902"
 175 ,"2,028",0,"1,397","1,995","1,833","2,263","2,933","6,054","6,307","5,305","6,547","36,662"
 176 ,"1,589","3,135",503,"2,534","1,852","2,585","4,924","7,067","7,610","6,213","8,644","46,655"
 177 ,522,692,776,860,479,751,"1,659","2,213","2,206","1,857","2,445","14,461"
 178 ,-,-,-,-,-,-,-,-,-,-,-, -   
 179 ,-,-,-,-,-,-,-,-,-,-,-, -   
 180 ,"4,104",871,"4,778","3,373","1,360","5,601","7,201","10,620","9,547","9,639","11,435","68,529"
 181 ,"2,133","1,181","2,235","3,073","1,774","3,160","5,272","7,321","7,817","5,478","7,151","46,595"
 182 ,"2,438",0,"2,569","2,549","1,870",921,"6,267","6,949","7,273","5,858","9,173","45,868"
 183 ,"2,330","1,129","1,564","2,486","1,391","3,690","4,189","7,431","7,000","5,931","9,105","46,246"
 184 ,"1,152",482,682,"1,688","1,009","2,136","3,212","2,533","4,076","3,101","3,616","23,686"
 185 ,"1,388","1,019","1,609","1,030","1,210","1,598","3,463","4,469","3,734","3,166","3,748","26,434"
 186 ,459,70,669,602,177,749,"1,133","1,860","1,638","1,315","1,438","10,111"
 187 ,"1,884","2,668","1,612","2,190","1,644","3,766","6,522","7,779","7,977","5,498","6,986","48,525"
 188 ,463,803,"2,282",638,"2,178",458,"3,915","5,784","4,832","2,916","4,499","28,767"
 189 ,"3,239","2,083","2,640","1,927","2,533","3,810","4,675","8,635","6,467","6,122","7,774","49,905"
 190 ,0,"1,142","2,557","2,275","1,442","3,139","4,571","6,482","4,311","5,084","5,304","36,307"
 191 ,-,-,-,-,-,-,-,-,-,-,-, -   
 192 ,"2,161","2,783",519,"2,469","1,611","2,435","4,792","6,259","5,248","4,909","4,638","37,823"
 193 ,675,"1,175","1,686","1,383",539,"2,790","2,151","4,154","3,724","3,269","3,625","25,171"
 194 ,"1,009","2,108","1,227","1,211","1,368","1,803","3,227","4,305","3,328","3,389","3,632","26,608"
 195 ,0,"3,670","2,190","2,228","1,355","4,135","4,086","6,378","6,400","5,235","4,710","40,388"
 196 ,557,"2,761","2,009","2,460","1,596","1,685","3,353","5,669","4,712","3,880","4,918","33,600"
 197 ,"1,414",553,"1,422","1,417",461,"1,421","3,185","3,599","3,222","2,780","3,922","23,395"
 198 ,"1,577",744,"2,033","1,397",554,"1,853","3,017","3,117","4,022","3,501","4,214","26,029"
 199 ,"7,015",732,"4,186","8,124","2,785","9,646","11,148","17,255","15,750","11,228","11,765","99,634"
 200 ,"2,176","1,472","1,968","2,030","1,430","2,796","3,610","5,434","4,216","3,732","4,126","32,990"
 201 ,"1,057","4,643","3,651","3,109","3,072","6,633","7,213","9,320","11,332","9,019","10,081","69,129"
 202 ,"1,208","4,928","2,223","4,469","2,750","5,655","10,202","12,892","11,370","9,394","9,947","75,039"
 203 ,"3,166","1,678","4,187","2,760","2,308","4,372","6,232","8,837","7,399","5,914","6,204","53,056"
 204 ,"7,570","2,637","10,001","5,443","5,870","10,210","12,008","19,223","16,096","12,867","13,495","115,420"
 205 ,"2,848","6,011","5,994","6,033","3,252","5,770","13,182","16,355","13,944","11,409","12,710","97,509"
 206 ,"1,912","1,294","2,829","2,320","1,546","3,401","4,437","6,378","5,453","4,825","5,048","39,442"
 207 ,"2,192","2,499","7,289","1,579","2,796","5,970","9,100","13,169","10,148","9,185","9,517","73,445"
 208 ,227,"2,010",223,"2,040",220,"4,370","3,633","6,471","7,599","7,425","10,933","45,152"
 209 ,559,"1,066","1,631","1,446","1,261","2,030","4,039","6,288","7,281","5,944","9,797","41,342"
 210 ,"2,194",712,0,"1,272",315,"2,658","2,299","3,912","5,635","5,402","9,712","34,111"
 211 ,"1,974","1,332","3,332","1,864","1,521","2,914","6,963","8,447","9,705","8,236","14,080","60,366"
 212 ,"1,883","1,692",977,281,"1,048","2,275","5,479","5,826","8,938","6,634","8,364","43,397"
 213 ,"1,913","1,825","2,549","2,354",696,"2,065","5,043","7,852","8,039","6,072","9,994","48,403"
 214 ,93,950,429,462,"1,401","1,123","3,232","4,804","4,195","3,595","5,881","26,167"
 215 ,"1,706",266,"1,718","1,656","2,114","1,476","4,283","6,945","6,106","5,251","8,635","40,156"
 216 ,"1,329","2,494","1,889",895,"1,474",857,"4,817","6,072","6,388","4,680","8,913","39,808"
 217 ,"1,068",382,"1,593","1,645",374,"2,742","3,399","5,162","5,288","4,120","6,267","32,040"
 218 ,"1,476","2,785","1,584","2,371",929,"3,741","8,100","10,760","11,019","9,044","14,101","65,910"
 219 ,"1,537","2,040","1,989","1,934","2,289","3,582","5,344","8,090","7,652","6,471","8,112","49,039"
 220 ,840,608,"2,207","1,889","1,526","2,298","4,724","5,223","5,877","4,807","5,369","35,367"
 221 ,"3,043","1,889","2,480","3,213","3,172","1,420","7,368","9,505","8,975","6,604","7,980","55,650"
 222 ,"2,260","1,619","2,418","3,237","1,818","5,144","4,196","8,365","7,892","5,823","5,025","47,798"
 223 ,756,"1,804","1,454","1,802","1,008","2,646","2,353","5,074","4,808","3,207","3,822","28,734"
 224 ,-,-,-,-,-,-,-,-,-,-,-, -   
 225 ,"1,556","1,476","1,888","2,960","1,790","3,850","5,518","7,089","7,513","5,950","7,432","47,022"
 226 ,"3,759","1,690","4,324","4,476","4,534","4,818","9,833","13,920","13,097","10,636","13,320","84,407"
 227 ,"2,891","3,963","4,639","2,455","2,790","5,185","7,576","9,428","9,985","7,846","7,314","64,071"
 228 ,"1,781","3,688","2,766","2,340","1,498","1,792","6,919","8,428","6,908","5,539","6,302","47,961"
 229 ,"7,678","6,163","9,033","6,280","5,089","10,168","18,977","22,266","19,096","14,118","15,312","134,180"
 230 ,"3,740","3,691","3,386","3,268","4,113","4,448","7,977","10,756","9,225","6,820","7,398","64,822"
 231 ,"3,757","1,533","2,240","3,520","2,326","3,157","6,534","8,037","6,801","5,602","5,638","49,146"
 232 ,"2,663","1,173","3,927","2,828","1,740","3,830","6,305","7,835","6,638","5,437","4,455","46,829"
 233 ,"3,498","1,416","4,584","3,417","2,289","4,637","7,122","9,395","7,950","6,548","6,590","57,445"
 234 ,"3,573","2,222","5,218","3,685","2,511","6,706","9,930","11,100","11,556","9,501","9,830","75,832"
 235 ,"2,804","5,793",0,"5,436","4,588","8,102","7,018","12,671","11,896","9,779","7,906","75,994"
 236 ,171,671,358,541,170,522,"1,254","1,953","1,991","1,761","2,681","12,072"
 237 ,406,737,0,0,322,846,974,"1,710","2,002","1,554","2,533","11,084"
 238 ,895,997,249,988,615,922,"1,815","2,999","2,869","2,979","4,694","20,023"
 239 ,0,268,305,701,386,"1,012","1,256","2,590","2,639","2,334","3,273","14,764"
 240 ,473,532,765,977,947,911,"1,925","3,257","3,536","2,800","4,333","20,456"
 241 ,0,953,335,249,314,354,"1,224","1,788","1,824","1,514","2,308","10,864"
 242 ,"1,165","1,066","1,352",691,816,"1,521","2,788","4,963","4,372","4,473","6,691","29,897"
 243 ,903,"3,884",475,"1,523",710,"3,163","5,955","6,621","7,753","6,147","8,661","45,794"
 244 ,0,"2,821","2,891","2,894","3,087","4,976","6,923","11,480","12,067","8,536","11,503","67,180"
 245 ,"1,461",70,"1,295","1,226",830,"2,489","2,342","4,184","4,180","3,060","3,942","25,081"
 246 ,0,"1,197","1,146","1,521","1,335","1,780","3,341","4,870","5,389","4,444","5,172","30,196"
 247 ,"2,812","1,243","7,853","3,310","2,951","7,763","11,514","18,717","14,110","10,125","19,282","99,681"
 248 ,-,-,-,-,-,-,-,-,-,-,-, -   
 249 ,"2,206","1,106","1,787","1,768","1,473",813,"4,275","6,100","5,721","3,824","10,048","39,120"
 250 ,654,488,633,"1,121","1,038",182,"2,256","2,616","3,365","2,766","4,768","19,888"
 251 ,840,"1,563","1,841",308,879,"1,132","2,301","4,544","4,298","3,900","3,423","25,031"
 252 ,976,753,669,656,361,"1,334","2,062","3,121","4,144","2,807","4,803","21,686"
 253 ,233,108,228,220,142,246,616,976,800,740,"1,297","5,606"
 254 ,"1,123",776,401,"1,223","1,279",833,"3,647","6,576","6,045","4,473","8,783","35,158"
 255 ,"2,384","1,477","3,464","1,870","2,769","3,305","3,560","12,043","11,621","9,218","15,841","67,552"
 256 ,"1,102","1,001",716,"1,181","1,271","1,138","2,869","4,981","4,144","3,994","5,484","27,883"
 257 ,242,801,"2,239","2,255",458,"3,518","4,710","7,243","7,564","5,811","9,552","44,393"
 258 ,"1,994","3,433",0,"2,583","3,633","2,470","3,760","12,911","12,676","9,450","16,283","69,192"
 259 ,"1,603","1,607",777,"1,440",333,"3,434","4,017","6,220","5,006","4,550","5,713","34,701"
 260 ,0,"1,202","1,627","2,743",769,"4,181","5,984","7,848","7,867","5,114","5,940","43,276"
 261 ,"3,444","1,374","4,937","1,684","1,927","1,712","5,713","8,866","8,003","7,509","8,309","53,479"
 262 ,"3,946","4,615","2,566","3,963","3,230","3,425","10,912","13,409","11,459","9,828","11,822","79,176"
 263 ,"3,006","2,320","3,354","3,281",0,"7,953","5,976","10,256","9,718","7,496","9,350","62,710"
 264 ,"3,159","1,659","3,737","3,799","1,649","3,250","9,186","10,572","9,294","8,074","9,928","64,306"
 265 ,"1,253","2,505","2,458","1,956",776,"3,090","5,469","6,908","6,401","5,442","6,580","42,838"
 266 ,860,699,925,"1,204",484,"1,963","2,186","3,479","3,224","1,861","3,128","20,014"
 267 ,0,"1,860",636,"1,385","1,130","3,050","3,363","5,597","5,441","4,482","5,447","32,392"
 268 ,516,331,552,514,438,541,973,"1,746","2,251","1,709","3,332","12,903"
 269 ,"1,349",471,"1,418",952,770,"1,867","1,955","3,839","5,016","4,218","7,497","29,352"
 270 ,308,253,352,354,304,294,759,"1,366","1,431","1,430","2,636","9,486"
 271 ,-,-,-,-,-,-,-,-,-,-,-, -   
 272 ,853,952,298,"1,047",599,"1,235","1,371","2,766","3,601","2,961","5,400","21,083"
 273 ,"1,461",440,"4,127","3,641","3,431","4,359","5,018","10,582","10,097","5,872","12,838","61,865"
 274 ,"1,940",214,426,"1,860",922,816,"3,927","5,634","5,585","4,431","6,056","31,810"
 275 ,0,"1,399","2,095","1,620","1,298","2,880","3,599","6,352","6,392","5,781","7,036","38,452"
 276 ,"3,680",671,"7,146","3,015","3,212","5,581","8,481","15,312","13,486","12,033","15,565","88,181"
 277 ,"3,149","1,945",0,0,"3,130",516,"9,636","11,635","8,607","9,513","9,498","57,629"
