Tabela 6,,,,
"Renda Total, Renda Média Familiar, Renda per Capita e Renda Mediana Familiar por Zona de Residência - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de  ,Renda(*),Renda(*)  Média,Renda(*),Renda(*) Mediana
 Residência ,Total  ,Familiar,Per Capita,Familiar
,,,,
 210 ," 115,846,395 "," 8,806 "," 3,396 "," 6,000 "
 211 ," 147,296,459 "," 6,416 "," 2,440 "," 5,334 "
 212 ," 77,570,314 "," 5,013 "," 1,787 "," 4,072 "
 213 ," 114,869,633 "," 6,520 "," 2,373 "," 6,400 "
 214 ," 53,832,729 "," 5,503 "," 2,057 "," 4,184 "
 215 ," 87,784,914 "," 5,806 "," 2,186 "," 4,842 "
 216 ," 104,486,609 "," 7,110 "," 2,625 "," 4,410 "
 217 ," 59,799,987 "," 5,073 "," 1,866 "," 4,684 "
 218 ," 98,617,380 "," 3,951 "," 1,496 "," 3,078 "
 219 ," 121,953,617 "," 7,069 "," 2,487 "," 6,090 "
 220 ," 76,752,454 "," 6,145 "," 2,170 "," 4,309 "
 221 ," 86,499,007 "," 4,336 "," 1,554 "," 3,797 "
 222 ," 119,185,935 "," 6,935 "," 2,494 "," 4,200 "
 223 ," 46,738,832 "," 4,470 "," 1,627 "," 3,540 "
 224 ,,,,
 225 ," 73,913,848 "," 4,554 "," 1,572 "," 4,368 "
 226 ," 134,821,609 "," 4,406 "," 1,597 "," 3,799 "
 227 ," 92,837,434 "," 4,096 "," 1,449 "," 3,000 "
 228 ," 53,126,183 "," 3,178 "," 1,108 "," 2,630 "
 229 ," 174,289,733 "," 3,630 "," 1,299 "," 3,271 "
 230 ," 71,344,654 "," 3,137 "," 1,101 "," 3,301 "
 231 ," 59,007,390 "," 3,462 "," 1,201 "," 3,089 "
 232 ," 54,685,360 "," 3,386 "," 1,168 "," 2,900 "
 233 ," 87,638,822 "," 4,325 "," 1,526 "," 3,540 "
 234 ," 80,913,246 "," 3,137 "," 1,067 "," 2,760 "
 235 ," 92,230,658 "," 3,428 "," 1,214 "," 3,000 "
 236 ," 42,533,914 "," 8,527 "," 3,523 "," 7,130 "
 237 ," 38,820,341 "," 8,025 "," 3,502 "," 7,746 "
 238 ," 63,010,970 "," 7,556 "," 3,147 "," 6,090 "
 239 ," 41,818,006 "," 7,116 "," 2,832 "," 6,000 "
 240 ," 80,176,117 "," 9,819 "," 3,919 "," 7,130 "
 241 ," 25,590,446 "," 5,986 "," 2,356 "," 5,012 "
 242 ," 45,655,757 "," 4,056 "," 1,527 "," 3,797 "
 243 ," 130,639,647 "," 7,079 "," 2,853 "," 5,700 "
 244 ," 100,922,126 "," 4,160 "," 1,502 "," 4,368 "
 245 ," 43,816,882 "," 4,621 "," 1,747 "," 4,742 "
 246 ," 72,219,321 "," 6,357 "," 2,392 "," 5,388 "
 247 ," 175,357,647 "," 4,694 "," 1,759 "," 3,950 "
 248 ,,,,
 249 ," 72,091,101 "," 4,965 "," 1,843 "," 4,050 "
 250 ," 95,626,659 "," 12,636 "," 4,808 "," 9,433 "
 251 ," 60,706,193 "," 5,968 "," 2,425 "," 4,500 "
 252 ," 55,340,028 "," 6,854 "," 2,552 "," 5,779 "
 253 ," 8,664,742 "," 4,214 "," 1,546 "," 3,700 "
 254 ," 121,461,693 "," 8,557 "," 3,455 "," 6,648 "
 255 ," 168,247,538 "," 6,235 "," 2,491 "," 4,930 "
 256 ," 71,918,370 "," 6,275 "," 2,579 "," 4,854 "
 257 ," 113,330,516 "," 6,404 "," 2,553 "," 5,388 "
 258 ," 107,057,688 "," 4,160 "," 1,547 "," 4,200 "
 259 ," 51,650,326 "," 4,176 "," 1,488 "," 4,072 "
 260 ," 74,890,441 "," 4,882 "," 1,731 "," 4,220 "
 261 ," 75,054,658 "," 3,907 "," 1,403 "," 3,301 "
 262 ," 113,750,310 "," 3,991 "," 1,437 "," 3,659 "
 263 ," 78,520,747 "," 3,590 "," 1,252 "," 2,870 "
 264 ," 127,766,666 "," 5,382 "," 1,987 "," 5,024 "
 265 ," 63,071,509 "," 4,098 "," 1,472 "," 3,824 "
 266 ," 42,366,779 "," 5,801 "," 2,117 "," 5,388 "
 267 ," 48,989,880 "," 4,179 "," 1,512 "," 3,100 "
 268 ," 74,502,144 "," 14,585 "," 5,774 "," 10,000 "
 269 ," 257,853,486 "," 19,723 "," 8,785 "," 16,515 "
 270 ," 48,906,803 "," 11,030 "," 5,156 "," 8,201 "
 271 ,,,,
 272 ," 79,671,041 "," 8,901 "," 3,779 "," 8,000 "
 273 ," 223,532,852 "," 9,286 "," 3,613 "," 7,215 "
 274 ," 74,851,839 "," 5,862 "," 2,353 "," 5,012 "
 275 ," 127,221,712 "," 8,088 "," 3,309 "," 7,000 "
 276 ," 174,056,200 "," 5,378 "," 1,974 "," 4,434 "
 277 ," 140,831,643 "," 6,363 "," 2,444 "," 5,000 "
 278 ," 179,021,145 "," 4,018 "," 1,456 "," 3,400 "
