Tabela 23,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo e Zona de Destino – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,
,,,,,,,,,,,
118," 1,420 "," 2,684 "," 4,804 "," 10,286 ", 426 , 794 , 218 , -   ," 1,255 ", 16 ," 21,903 "
119," 3,300 "," 10,625 "," 31,124 "," 65,981 "," 3,276 "," 3,990 "," 1,034 ", -   ," 2,217 ", -   ," 121,548 "
120, - , - , - , - , - , - , - , - , - , - , -   
121," 10,515 "," 9,433 "," 21,285 "," 54,595 "," 2,307 "," 2,817 ", 99 , -   ," 3,422 ", -   ," 104,473 "
122," 1,904 "," 7,736 "," 10,501 "," 34,671 ", 338 , 305 , 850 , -   , 948 , -   ," 57,253 "
123," 3,030 "," 6,019 "," 17,432 "," 36,482 ", 459 , 884 ," 6,924 ", -   ," 2,543 ", -   ," 73,773 "
124," 2,085 "," 9,209 "," 18,611 "," 49,535 "," 3,478 "," 2,804 ", 947 , -   ," 1,867 ", -   ," 88,536 "
125," 6,762 "," 5,433 "," 21,846 "," 33,282 ", 974 ," 2,332 "," 3,461 ", -   ," 1,027 ", -   ," 75,117 "
126," 1,308 "," 9,255 "," 21,123 "," 21,492 "," 1,481 "," 2,214 "," 2,014 ", 140 ," 1,102 ", -   ," 60,129 "
127," 4,143 "," 9,705 "," 28,970 "," 51,668 "," 2,124 "," 3,918 "," 3,557 ", 587 ," 6,821 ", 123 ," 111,616 "
128," 1,850 "," 3,554 "," 6,582 "," 2,261 ", 214 ," 5,345 ", 273 , 56 ," 3,441 ", 148 ," 23,723 "
129," 1,976 "," 3,259 "," 14,537 "," 3,444 "," 1,863 "," 5,839 "," 1,199 ", 468 ," 3,762 ", 240 ," 36,587 "
130, 224 ," 1,328 "," 5,696 "," 2,763 ", 320 , 357 , 102 , -   ," 2,062 ", 109 ," 12,961 "
131," 2,643 ", 688 ," 5,826 "," 2,334 ", 433 , 500 ," 2,069 ", -   ," 3,197 ", -   ," 17,691 "
132, 677 , 461 ," 4,836 ", 721 , -   ," 1,290 "," 1,277 ", 531 , 526 ," 1,003 "," 11,323 "
133," 3,835 "," 8,585 "," 28,172 "," 23,272 "," 1,835 "," 4,804 "," 2,187 ", -   ," 1,414 ", 615 ," 74,719 "
134," 1,573 "," 3,109 "," 25,305 "," 21,992 "," 3,634 "," 5,737 ", 673 , -   ," 2,103 ", 322 ," 64,448 "
135," 2,795 "," 3,043 "," 21,713 "," 25,575 "," 2,362 "," 4,736 "," 7,199 ", -   ," 2,323 ", 288 ," 70,034 "
136," 8,236 "," 3,370 "," 24,744 "," 18,391 "," 3,319 "," 4,904 "," 1,866 ", 56 ," 3,341 "," 1,131 "," 69,358 "
137," 1,712 "," 4,855 "," 21,069 "," 29,705 "," 4,079 "," 2,782 "," 1,036 ", -   ," 3,599 "," 1,562 "," 70,398 "
138," 5,469 "," 5,832 "," 10,137 "," 8,515 "," 2,749 ", 413 , 343 , -   , 769 , -   ," 34,228 "
139," 1,892 "," 3,559 "," 13,020 "," 21,330 "," 1,700 "," 4,810 "," 3,167 ", 233 ," 1,020 ", -   ," 50,732 "
140," 2,915 "," 5,496 "," 13,187 "," 22,874 "," 3,562 "," 2,776 "," 2,102 ", -   ," 4,851 ", -   ," 57,761 "
141," 7,267 "," 20,366 "," 52,718 "," 47,600 "," 5,325 "," 10,584 "," 3,505 ", 427 ," 5,201 ", -   ," 152,993 "
142," 5,541 "," 5,432 "," 29,976 "," 23,770 "," 1,683 "," 2,103 ", 197 , -   ," 2,058 ", -   ," 70,760 "
143, - , - , - , - , - , - , - , - , - , - , -   
144," 2,946 "," 16,070 "," 55,661 "," 63,117 "," 18,743 "," 5,016 "," 8,902 ", -   ," 6,461 ", 655 ," 177,571 "
145, 32 , 639 ," 3,467 "," 7,234 ", 714 , 195 , 734 , -   , 191 , 151 ," 13,356 "
146, - , - , - , - , - , - , - , - , - , - , -   
147," 2,692 "," 5,941 "," 15,446 "," 15,439 ", 855 ," 2,183 ", 374 , -   ," 2,291 ", -   ," 45,223 "
148," 1,182 "," 2,120 "," 15,267 "," 12,344 ", 342 ," 2,843 ", 185 , -   ," 2,290 ", -   ," 36,573 "
149, -   , -   , -   , -   , -   , -   , 280 , -   , -   , -   , 280 
150," 6,091 "," 2,673 "," 21,497 "," 21,281 ", 479 ," 2,887 "," 3,624 ", -   , 684 ," 1,232 "," 60,448 "
151," 8,383 "," 4,320 "," 45,375 "," 23,900 "," 2,600 "," 1,492 "," 8,918 ", -   ," 4,219 ", 169 ," 99,376 "
152," 2,177 "," 9,276 "," 11,047 "," 19,737 "," 4,198 "," 5,790 "," 4,141 ", 604 ," 3,855 ", -   ," 60,827 "
153," 1,553 "," 1,499 "," 9,838 "," 6,908 "," 3,993 "," 2,627 "," 2,987 ", -   , 530 , 532 ," 30,466 "
154," 3,463 "," 9,476 "," 29,925 "," 40,643 "," 3,437 "," 2,205 "," 4,795 ", -   ," 6,739 ", 690 ," 101,373 "
155," 1,671 ", 946 ," 13,308 "," 12,528 "," 1,853 "," 2,529 "," 1,080 ", -   ," 1,341 ", 584 ," 35,841 "
156," 4,939 "," 9,948 "," 15,839 "," 37,349 "," 9,324 "," 1,177 "," 3,608 ", 224 ," 4,221 "," 1,027 "," 87,656 "
157," 1,312 "," 2,201 "," 6,047 "," 8,691 ", 688 , 946 , 654 , -   , 358 , -   ," 20,898 "
158," 1,698 "," 6,396 "," 15,211 "," 25,548 ", 687 ," 3,946 ", 473 , -   ," 4,009 ", 21 ," 57,988 "
159," 8,632 "," 8,029 "," 28,686 "," 37,076 "," 3,319 "," 9,523 "," 2,790 ", -   ," 4,002 ", -   ," 102,057 "
160," 2,793 "," 5,207 "," 27,975 "," 23,112 "," 1,475 "," 4,210 "," 1,357 ", -   ," 1,290 ", -   ," 67,419 "
161," 12,270 "," 13,142 "," 33,497 "," 20,411 "," 2,994 "," 5,381 ", 724 , 8 ," 2,992 ", 60 ," 91,480 "
162," 4,246 "," 8,780 "," 15,322 "," 12,247 "," 1,359 ", 366 ," 1,187 ", 224 , 461 , 82 ," 44,272 "
163," 4,020 "," 8,428 "," 22,316 "," 25,227 "," 5,093 "," 4,768 "," 3,534 ", -   ," 2,209 "," 1,262 "," 76,855 "
164," 4,309 "," 2,803 "," 9,729 "," 1,875 ", 655 ," 1,425 ", 143 , -   , 359 , 216 ," 21,514 "
165," 1,937 "," 4,100 "," 5,941 "," 4,232 "," 1,753 ", 261 ," 2,017 ", 27 , 48 , -   ," 20,317 "
166," 2,494 "," 11,014 "," 41,655 "," 24,208 "," 6,418 "," 9,559 "," 6,804 ", -   ," 3,141 "," 2,136 "," 107,429 "
167," 4,430 "," 12,448 "," 38,909 "," 16,120 "," 6,575 "," 11,728 "," 3,133 ", -   ," 7,625 "," 1,851 "," 102,820 "
168," 1,139 "," 10,864 "," 25,691 "," 15,375 "," 5,555 "," 3,185 "," 4,703 ", -   ," 6,134 ", 422 ," 73,069 "
169," 1,998 "," 5,147 "," 26,631 "," 49,549 "," 2,563 "," 3,471 "," 8,333 ", -   ," 3,791 ", 325 ," 101,809 "
170," 2,096 "," 18,988 "," 29,061 "," 36,148 "," 4,822 "," 8,702 "," 8,807 ", 728 ," 4,501 "," 1,301 "," 115,155 "
171," 2,761 "," 5,543 "," 15,874 "," 30,779 "," 2,809 "," 2,953 "," 3,847 ", -   ," 2,724 ", 469 ," 67,760 "
172, 178 ," 4,559 "," 9,774 "," 20,095 "," 1,489 "," 2,243 "," 1,562 ", -   ," 3,743 ", -   ," 43,642 "
173," 1,717 "," 4,328 "," 10,080 "," 10,632 ", 427 , -   , 570 , -   ," 1,043 ", 200 ," 28,998 "
174," 1,479 "," 6,396 "," 12,946 "," 24,865 "," 2,395 "," 1,430 "," 1,785 ", -   ," 3,065 ", -   ," 54,361 "
175," 1,994 "," 1,967 "," 7,238 "," 9,885 ", 806 , 983 , 107 , 219 , 468 , 350 ," 24,018 "
176," 2,425 "," 7,463 "," 15,647 "," 20,370 "," 1,340 ", 527 ," 2,205 ", -   ," 2,060 ", -   ," 52,039 "
177, 449 ," 2,415 "," 5,634 "," 6,069 ", 478 ," 1,817 "," 1,603 ", 91 , 436 , -   ," 18,992 "
178, 583 , -   , 177 ," 7,995 ", -   , -   , -   , -   , -   , -   ," 8,754 "
179, - , - , - , - , - , - , - , - , - , - , -   
180," 10,048 "," 7,260 "," 22,497 "," 45,876 "," 5,110 "," 2,480 "," 3,589 ", -   ," 3,737 ", 456 ," 101,051 "
181," 5,179 "," 7,723 "," 18,317 "," 27,589 "," 2,330 "," 5,640 "," 2,139 ", -   ," 2,363 ", -   ," 71,280 "
182," 3,506 "," 8,190 "," 16,892 "," 33,378 ", 662 ," 5,824 ", 382 , -   ," 2,032 ", 612 ," 71,478 "
183," 1,010 "," 3,035 "," 20,067 "," 21,022 ", 830 ," 2,700 "," 2,462 ", 472 ," 5,442 ", -   ," 57,038 "
184, 522 ," 2,728 "," 8,845 "," 11,442 ", 648 ," 2,522 "," 1,357 ", -   ," 1,666 ", -   ," 29,730 "
