Tabela 20,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,
 Origem , Coletivo , Individual , A pé , Bicicleta 
,,,,
445, 63 , 33 , -   , 17 
446, 58 , 34 , -   , 18 
447, 38 , 28 , -   , 17 
448, 65 , 29 , -   , 10 
449, 46 , 32 , -   , 22 
450, 59 , 31 , 30 , 19 
451, 50 , 30 , 43 , 11 
452, 34 , 26 , 40 , 15 
453, 53 , 24 , -   , 12 
454, 54 , 23 , -   , 16 
455, 59 , 25 , 15 , 12 
456, 43 , 21 , -   , 18 
457, 38 , 23 , 20 , 18 
458, 37 , 28 , -   , 16 
459, 46 , 24 , -   , 16 
460, 43 , 27 , 20 , 17 
461, - , - , - , - 
462, 48 , 29 , 32 , 14 
463, 59 , 23 , -   , 12 
464, 57 , 20 , -   , 16 
465, 60 , 22 , 11 , 14 
466, 58 , 22 , 43 , 15 
467, 66 , 25 , 28 , 20 
468, 62 , 28 , 18 , 9 
469, 69 , 23 , -   , 11 
470, 60 , 25 , -   , 13 
471, 64 , 38 , -   , 9 
472, 74 , 32 , -   , 16 
473, 76 , 26 , -   , 15 
474, 67 , 37 , 30 , 12 
475, 33 , 28 , 43 , 15 
476, 80 , 37 , -   , 11 
477, 44 , 28 , -   , 3 
478, 55 , 32 , -   , 11 
479, 42 , 35 , -   , 14 
480, 56 , 31 , 6 , 10 
481, 80 , 35 , -   , 14 
482, 56 , 26 , -   , 8 
483, 59 , 31 , -   , 13 
484, - , - , - , - 
485, - , - , - , - 
486, 56 , 26 , -   , 14 
487, 84 , 33 , -   , 15 
488, - , - , - , - 
489, - , - , - , - 
490, 70 , 33 , 40 , 12 
491, 66 , 33 , -   , 13 
492, 48 , 30 , 10 , 14 
493, 67 , 25 , 38 , 19 
494, 58 , 27 , -   , 14 
495, 62 , 32 , -   , 13 
496, 75 , 19 , -   , 13 
497, 76 , 35 , 9 , 14 
498, 76 , 29 , 10 , 15 
499, 46 , 20 , 8 , 14 
500, 41 , 23 , -   , 10 
501, 43 , 23 , -   , 12 
502, 50 , 23 , 15 , 13 
503, 64 , 35 , -   , 9 
504, 48 , 19 , -   , 8 
505, 53 , 33 , -   , 10 
506, 62 , 24 , 10 , 15 
507, 44 , 25 , 13 , 15 
508, 54 , 23 , 6 , 16 
509, 49 , 26 , 24 , 15 
510, 38 , 23 , -   , 14 
511, 43 , 19 , -   , 19 
512, 54 , 26 , 50 , 15 
513, 40 , 26 , -   , 14 
514, 51 , 25 , 36 , 11 
515, 60 , 27 , -   , 13 
516, 51 , 31 , -   , 12 
517, 49 , 28 , 20 , 10 
518, 76 , 28 , 25 , 18 
519, 51 , 46 , 18 , 16 
520, - , - , - , - 
521, 37 , 29 , -   , 26 
522, 47 , 25 , -   , 11 
523, 75 , 27 , -   , 3 
524, 80 , 24 , -   , 12 
525, 75 , 31 , -   , 12 
526, 49 , 28 , -   , 10 
527, 64 , 21 , -   , 12 
,,,,
Total RMSP, 58 , 28 , 23 , 13 
,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,
,,,,
Notas:,,,,
,,,,
"São considerados como modo coletivo: metrô, trem, ônibus, transporte fretado e transporte escolar.",,,,
,,,,
"São considerados como modo individual: automóvel, táxi, motocicleta e outros.",,,,
,,,,
Modo não-motorizado é a soma dos modos a pé e bicicleta.,,,,
,,,,
Viagem a pé é aquela realizada a pé da origem ao destino; não se complementa com nenhum outro modo de transporte.  ,,,,
"Foram consideradas todas as viagens a pé pelos motivos trabalho e escola, independentemente da distância percorrida;",,,,
"para os demais motivos, quando a distância da viagem a pé  foi superior a 500 metros.",,,,
