Tabela 16,,,,,,,,,,,,,,,
Viagens Diárias Produzidas por Modo Principal e Zona de Origem – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Viagens Produzidas por Modo Principal,,,,,,,,,,,,,,Total
Zona de,Metrô,Trem,Ônibus,Transporte fretado,Transporte escolar,Dirigindo automóvel,Passageiro de automóvel,Táxi convencional,Táxi não convencional / aplicativo,Dirigindo moto,Passageiro de moto e  de mototáxi,Bicicleta,A pé,Outros,
Origem,,,,,,,,,,,,,,,
193,"2,992",0,"6,080",444,"5,187","4,170",757,0,"1,094",758,0,0,"3,295",0,"24,777"
194,"3,654",144,"7,322",0,"2,302","2,952","1,814",502,590,958,0,205,"11,129",0,"31,573"
195,"5,103",307,"9,534",0,"6,395","8,888","2,398",0,"1,138","1,776",0,"1,251","17,629",0,"54,419"
196,"4,844",0,"5,775",0,"1,716","9,629","6,325",0,"1,509",494,0,0,"26,054",0,"56,345"
197,"2,394",339,"11,915",176,"5,100","7,629","5,419",0,392,195,107,653,"8,736",0,"43,054"
198,"4,268","2,326","30,607",0,"3,377","15,599","5,724",0,"2,619",591,0,"1,242","21,634",0,"87,988"
199,"10,874","10,597","15,830",786,"3,095","18,999","5,946",0,396,0,0,"11,898","58,307",0,"136,726"
200,"3,297","5,953","6,579",0,"6,185","2,184","1,045",0,804,758,179,"2,838","18,395",0,"48,216"
201,"5,270","5,798","15,214",233,"5,795","9,900","2,127",0,"1,324",698,0,0,"60,050",0,"106,408"
202,"12,379","3,954","17,231",0,"4,818","25,219","12,502",256,"1,436","3,394",390,"1,251","43,396","1,302","127,529"
203,"8,699","4,307","8,867",0,"4,901","2,719","1,943",0,716,"1,594",0,391,"44,503","1,302","79,942"
204,"8,316","7,604","30,894",0,"5,241","19,003","6,549",0,"4,324","3,526",0,0,"56,006",0,"141,463"
