Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional/app , Dirigindo moto ,Passageiro de moto e de mototáxi, Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
206,"6,270","5,154","11,573",715,"4,282","9,018","3,500",405,"4,076","3,483",179,907,"23,338",0,"72,900"
207,"9,497","5,992","13,549",987,"5,796","19,191","6,084",0,"1,367","3,818",199,"6,459","72,829",369,"146,138"
208,"9,899","4,520","19,254",207,"2,429","20,871","4,564",0,"1,373","3,180",255,426,"13,801",0,"80,778"
209,"3,422",0,"13,399",0,"3,983","24,604","7,801",0,"1,158",560,0,426,"12,411","1,226","68,988"
210,"3,834","3,024","18,406",0,"4,345","15,781","4,517",614,"3,826","2,941",205,0,"5,817",0,"63,310"
211,"3,733",0,"18,159",0,"4,284","21,445","10,667",0,198,"2,273",0,0,"10,377",167,"71,303"
212,"3,334",0,"14,662",0,"5,565","9,751","3,611",0,"2,267","2,612",255,0,"13,230",305,"55,592"
213,"5,621",210,"15,620",0,"8,534","16,528","9,461",0,"1,569","2,430",616,0,"14,383",0,"74,972"
214,"4,688",244,"8,026",0,"3,058","11,606","3,982",0,"1,168",891,0,0,"4,649",0,"38,312"
215,"7,774",0,"10,794",0,"3,387","15,688","5,014",0,440,"1,670",0,0,"14,103",813,"59,683"
216,"8,882",0,"5,950",0,"1,955","12,294","7,847",0,"2,316","1,701",425,669,"19,876",0,"61,915"
217,"5,810",0,"3,715",0,"5,429","4,589","3,334",0,"1,565",372,0,0,"8,540",0,"33,353"
218,"12,760",0,"21,184",0,"3,795","16,484","4,519",0,"3,673",666,0,"4,164","41,108",0,"108,352"
219,"6,287",0,"6,344",0,"4,720","19,476","8,435",0,761,0,0,0,"21,561","1,616","69,201"
220,"4,858",431,"9,588",0,911,"8,593","5,977",0,792,968,541,0,"17,238",0,"49,898"
221,"3,186",216,"15,812",0,"6,586","17,493","6,034",0,"1,226","1,308",0,"2,769","18,678",0,"73,307"
222,"3,914",621,"14,706",0,"6,114","19,391","5,069",0,980,"2,593",0,"2,502","15,589",160,"71,639"
223,"3,380","1,008","11,605",0,"4,228","5,603","2,298",0,"2,243",882,389,0,"15,068",0,"46,703"
224,0,0,871,0,"1,055","2,264",747,0,"1,408",0,0,739,361,0,"7,445"
225,"4,668","1,431","16,355",285,"4,196","8,561","5,117",0,0,"2,278",0,0,"17,991",0,"60,883"
226,"12,447","6,109","24,683",0,"11,698","17,021","9,998",0,"2,746","1,595",0,0,"27,475",0,"113,772"
227,"4,836","12,567","23,325",0,"2,519","10,745","4,599",0,"1,553",542,0,391,"36,415",0,"97,492"
228,"10,926","2,682","8,887",0,"3,914","4,601","1,019",0,253,207,0,0,"31,775",0,"64,263"
229,"13,111","10,148","35,876",937,"9,300","16,627","15,633",0,"2,068","3,618",346,0,"101,420",749,"209,833"
230,"5,830",837,"24,466",0,"2,578","7,558","5,700",0,"2,172",256,616,0,"45,768",0,"95,781"
231,"3,769",0,"13,097",938,"8,171","7,424","2,542",0,"2,637","1,173",188,0,"8,839",0,"48,778"
232,"3,937",327,"13,561",0,"3,700","13,310","5,193",0,"1,413","2,271",192,0,"23,811",727,"68,443"
233,"7,367",441,"13,987",0,"11,829","12,649","4,189",0,"4,542",938,0,0,"26,033",0,"81,975"
