 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 161 ,"11,270","4,527",236,273,458,"10,158",0,0,0,"26,921"
 162 ,"2,906",277,162,871,"2,311","3,292",0,431,0,"10,250"
 163 ,"10,165","1,121",416,754,"6,045","3,916",114,0,0,"22,531"
 164 ,"1,805",0,259,0,576,"1,382",226,62,165,"4,476"
 165 ,940,215,47,0,46,375,0,23,40,"1,686"
 166 ,"6,685",0,"1,179","1,225","4,238",801,488,289,874,"15,779"
 167 ,"3,215",131,817,816,"1,932","1,190",578,217,0,"8,895"
 168 ,"5,111",175,800,"1,136","5,972",889,580,0,0,"14,663"
 169 ,"5,740",492,0,"1,226","2,325","2,640",0,586,0,"13,009"
 170 ,"7,612",693,"1,830","1,752","2,555","3,477",0,179,701,"18,800"
 171 ,"9,504",0,621,526,888,"4,927",0,435,0,"16,901"
 172 ,"5,411",459,727,0,"3,213","2,851",0,131,0,"12,792"
 173 ,"6,370",171,"1,136",310,"2,434","1,392",0,"1,124",131,"13,067"
 174 ,"15,306",449,502,449,"1,428","1,375",0,941,617,"21,068"
 175 ,"9,517",887,222,0,"1,108","4,602",103,713,0,"17,152"
 176 ,"13,547","1,195",0,419,"1,732","4,320",0,0,0,"21,213"
 177 ,"3,460",99,226,0,907,"2,216",0,0,0,"6,908"
 178 ,,,,,,,,,,
 179 ,,,,,,,,,,
 180 ,"16,437","4,663",338,"1,652","2,185","5,258",530,0,0,"31,063"
 181 ,"12,706",0,726,570,"3,586","5,499",0,702,0,"23,788"
 182 ,"12,074","1,356",563,550,"2,120","4,674",518,0,0,"21,853"
 183 ,"11,466",374,"1,027",0,"5,690","3,353",0,0,0,"21,910"
 184 ,"6,456",376,361,94,"2,380","1,345",0,152,0,"11,163"
 185 ,"7,983","1,253",258,0,923,"2,401",0,184,0,"13,002"
 186 ,"3,099",290,266,0,652,"1,259",71,0,0,"5,638"
 187 ,"11,073","2,355","1,119",324,"2,770","4,375",0,172,299,"22,486"
 188 ,"7,640","1,417","1,009",364,"1,529","3,185",0,0,0,"15,143"
 189 ,"11,632","1,075",842,0,"2,047","2,475",0,0,0,"18,072"
 190 ,"6,417",373,"1,485",711,"2,028","4,681",434,"1,750",0,"17,880"
 191 ,,,,,,,,,,
 192 ,"8,302",805,427,715,"1,988","3,382",0,509,919,"17,048"
 193 ,"5,601",0,369,0,"1,060","1,612",0,0,0,"8,642"
 194 ,"6,429",180,0,0,"1,702","2,475",175,0,0,"10,961"
 195 ,"14,764",85,703,245,"1,371","3,160",0,0,0,"20,328"
 196 ,"8,632","1,060",359,0,"1,056","3,536",0,0,0,"14,642"
 197 ,"5,689",0,539,187,"1,294","1,665",0,0,0,"9,374"
