Tabela 12,,,,,,,,,,,,,,,
Empregos por Classe de Atividade e Zona de Emprego – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Empregos por Classe de Atividade,,,,,,,,,,,,,,
Zona de Emprego,Agrícola,Construção Civil,Indústria,Comércio,Serviços,,,,,,,,,,
,,,,,Transporte de Carga,Transporte de Passageiros,Creditícios Financeiro,Pessoais,Alimentação,Saúde,Educação,Especializado,Administração Pública,Outros,Total
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
118, -   , 481 , 689 , 807 , 325 , 74 , -   , 450 ," 1,003 ", -   , 336 , 777 , -   , 399 ," 5,339 "
119, -   ," 3,644 ", -   ," 9,281 ", 258 ," 1,248 ", -   , -   , 311 ," 1,553 "," 1,996 "," 2,049 ", 468 ," 4,998 "," 25,806 "
120, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
121, -   , 980 ," 1,211 "," 4,642 ", -   ," 1,781 ", 546 , 553 , 968 , 502 , 316 , 215 , -   ," 2,382 "," 14,095 "
122, -   , 798 , 139 ," 4,546 ", -   , 319 , -   , -   , 523 , 506 , -   , 442 , 215 ," 2,087 "," 9,574 "
123, -   , 188 , -   ," 1,948 ", -   , 572 , -   , -   ," 1,064 ", -   , 698 , -   , -   ," 2,479 "," 6,948 "
124, -   , 590 ," 2,233 "," 3,163 ", 980 , 999 , -   ," 1,166 ", 397 , 16 , 270 ," 1,057 ", 47 ," 1,927 "," 12,845 "
125, -   , 846 , 953 , 548 , 595 ," 1,124 ", -   , 759 , -   , 228 ," 3,219 "," 1,412 ", -   ," 3,427 "," 13,111 "
126, -   , 537 , 379 ," 3,513 ", -   , -   , -   , 395 , 492 ," 2,674 ", 481 ," 1,467 ", -   ," 2,065 "," 12,003 "
127, -   , 583 ," 1,611 "," 5,728 ", 928 , 383 ," 1,857 ", 454 ," 2,804 "," 3,216 "," 2,112 "," 5,382 ", 182 ," 3,896 "," 29,135 "
128, -   , 23 , 379 ," 3,949 ", 71 , 18 , 40 , 50 , -   ," 2,949 ", 33 , 996 , -   ," 1,274 "," 9,781 "
129, -   , 34 , 351 ," 2,694 ", -   , 231 , 224 ," 1,214 ", 754 ," 2,072 ", 45 ," 4,496 ", -   ," 2,870 "," 14,984 "
130, -   , 100 , 28 , 469 , -   , -   , -   , 46 , -   ," 1,538 ", 11 , 921 ," 1,854 ", 654 ," 5,621 "
131, -   , 457 ," 1,296 "," 1,826 ", -   ," 1,876 ", 14 , -   , 720 , 288 , 97 ," 2,264 ", 93 ," 2,564 "," 11,495 "
132, -   , -   , 448 , 280 , 225 , 240 , -   , -   , -   ," 1,037 ", -   , -   , 334 , 856 ," 3,419 "
133, -   , 287 ," 1,137 "," 3,427 ", 300 , 231 , 936 , 204 ," 1,515 "," 1,621 "," 1,463 "," 4,828 "," 1,477 "," 6,171 "," 23,596 "
134, -   , 331 , 725 ," 2,432 ", -   , 973 , -   , 511 ," 1,581 "," 3,460 "," 1,977 ", 497 , -   ," 1,934 "," 14,419 "
135, -   , 297 , 399 ," 4,198 ", 24 , 224 , 574 , -   , 351 ," 2,933 ", 266 ," 3,548 ", 905 ," 6,117 "," 19,835 "
136, -   ," 1,376 "," 2,836 "," 3,556 "," 2,110 ", 714 , 219 , 876 ," 1,518 ", 269 , 620 ," 3,236 ", 108 ," 4,003 "," 21,441 "
137, -   , 913 ," 2,077 "," 5,256 "," 1,362 ", 589 , -   ," 1,847 ", 239 ," 1,093 ", 896 ," 1,711 ", 427 ," 2,627 "," 19,037 "
138, -   ," 1,356 "," 3,769 "," 4,976 ", 428 , -   , -   , -   , 391 , 425 , 446 , 874 , 287 ," 2,376 "," 15,329 "
139, -   , 665 , 701 ," 1,376 ", 262 , -   , -   , 196 , 924 ," 1,749 ", 91 , 328 , -   ," 2,027 "," 8,318 "
140, -   , 221 , 570 ," 3,671 ", -   , -   , -   ," 1,987 ", -   , -   ," 1,288 "," 2,661 ", -   , 943 ," 11,342 "
141, -   ," 5,288 "," 1,270 "," 6,417 "," 1,097 ", 800 , -   ," 3,750 ", 823 , 405 ," 2,472 "," 3,551 ", 711 ," 5,770 "," 32,355 "
142, -   ," 1,236 ", 951 ," 1,407 ", 210 ," 2,944 ", -   , 354 ," 2,022 ", -   , 306 ," 1,058 ", -   ," 3,037 "," 13,526 "
143, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
144, -   , 955 , 435 ," 7,472 "," 3,419 "," 1,508 "," 1,091 ", 892 , 406 ," 2,404 ", 949 ," 4,022 ", 613 ," 7,792 "," 31,960 "
145, -   , 190 , -   , 377 , 155 , -   , -   , 425 , -   , -   , 513 , 509 , -   , 488 ," 2,658 "
146, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
147, -   , 603 ," 1,334 "," 1,662 ", -   , 397 , -   , 126 ," 1,018 ", 191 , 482 ," 1,267 ", -   ," 2,495 "," 9,574 "
148, -   , 183 , 520 , 945 , -   , -   , 196 , -   , 895 ," 1,132 "," 1,234 ", 945 , -   ," 2,024 "," 8,076 "
149, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
150, -   ," 1,828 "," 3,216 "," 3,443 ", 960 , -   , -   , 637 , 319 ," 1,538 "," 1,143 ", 642 , -   ," 1,771 "," 15,498 "
151, -   ," 1,179 ", 428 ," 4,535 ", 647 ," 1,320 ", -   , 382 , -   , 528 ," 1,089 "," 1,304 ", 515 ," 5,257 "," 17,183 "
152, -   , -   ," 1,203 "," 2,392 ", 129 , 495 , 494 , 82 ," 1,726 ", 157 , 596 ," 1,661 ", 187 ," 2,688 "," 11,810 "
153, -   , 127 , 651 ," 1,240 ", -   , -   , -   , 372 ," 1,271 ", 879 , 421 , 798 ," 1,044 "," 1,310 "," 8,113 "
154, -   ," 2,161 "," 2,671 "," 7,545 ", -   , 398 ," 2,217 ", 569 , 555 ," 1,216 "," 1,248 "," 2,251 ", 204 ," 6,120 "," 27,155 "
155, -   , 559 ," 1,553 ", 517 , 325 , 469 , -   , 970 , 490 , 420 , -   , -   , -   ," 1,764 "," 7,067 "
156, -   , 71 ," 1,507 "," 5,776 ", 584 , 172 , -   , 367 , 189 ," 3,350 ", 771 ," 3,367 ", 597 ," 1,573 "," 18,323 "
157, -   , 143 ," 1,375 ", 166 , 46 , 137 , 251 , 147 , 278 , -   , 157 , 135 , -   , 710 ," 3,545 "
